,Descripcion,Familia,Codigos donde esta duplicado
193,BOMBA AGUA RENAULT 19/KANGOO,RENAULT,00015419 - 00030181
194,HU 613X,FILTROS,00048849 - 00112116
195,"COCO ARRASTRE 2""",ACCESORIOS,00000213 - 00111008
196,CORREA DISTRIB 163 MR25 HYUN H100/ L200 4D56 DIESE,ISUZU,00037642 - 00037873
197,PAST FRENO PP5121 FORD EXPLORER,PASTILLA FRENO,00029592 - 00090805
198,LETRERO TAXI ROJO,ROTACION ,00050983 - 00070382
199,FAROL TRASERO LH CHEVROLET SPARK GT,CHEVROLET,00016675 - 00099964
200,TERMINAL DIR PEU 208 1400 12/15 DEL EXT,ROTACION ,00113059 - 00113060
201,RETEN 80X98X10,RETENES,00023898 - 00023904
202,PINTURA SPRAY,VARIOS ,00063682 - 00063684 - 00063686 - 00064214
203,CAPOT CON TOMA AIRE TURBO TOYOTA HILUX,TOY,00060411 - 00087359
204,EMPAQUETADURA JUEGO COMPLETO TOY HILUX 2.4,TOY,00080813 - 00080814
205,CUBRE VOLANTE CAMION 16-18 NEGRO,ROTACION ,00093897 - 00093899
206,CORREA 7PK1560,CORREAS,00016682 - 00058905
207,REGULADOR 12V,VARIOS ,00078782 - 00079488 - 00080355 - 00081606 - 00081825 - 00082068 - 00082416 - 00085314 - 00089752 - 00097780
208,EMPAQUETADURA CARTER HYUNDAI,HYUN,00082303 - 00099374
209,SOPORTE MOTOR RH SUZUKI ALTO 06-13,SUZUKI,00081793 - 00083259
210,JUEGO CADENA AR16 C/TENSOR,ART. SEGURIDAD VEHICULO,00063386 - 00063387
211,FILTRO AIRE VW GOLF A3,FILTROS,00041731 - 00050095
212,TUBO RECEPTOR PARA ENGANCHE,ROTACION ,00008101 - 00094005
213,DISCO FRENO PG BOXER 2.0/2.2/2.5 97- CIT JUMPER,PEUG,00076002 - 00076003
214,CORREA 6PK1705,CORREAS,00091852 - 00094212
215,DISCO FRENO RENAULT LOGAN/SANDERO/SYMBOL,RENAULT,00034297 - 00093375
216,BROCHE 125,ACCESORIOS,00075184 - 00077039
217,CUBRE VOLANTE AZUL CUERINA,ACCESORIOS,00059484 - 00059485
218,PORTACARBON 12V,ELECTRICO,00086431 - 00093198
219,C 30171 PARTS MALL,FILTROS,00072270 - 00072271
220,TERMINAL LH,ENCARGO,00200873 - 00201081
221,NEBLINERO MZ 323 02/04 LH,MAZDA,00048047 - 00048048
222,PAST FRENO 206 PP5016 FORD/KIA,PASTILLA FRENO,00052655 - 00053190
223,WK 920/1,FILTROS,00005979 - 00045173
224,CAPOT TOYOTA HILUX,TOY,00057729 - 00083654
225,NEBLINERO RH NISSAN D22 02/14,NISSAN,00045171 - 00045172
226,FAROL PARACHOQUE RH HONDA ACCORD,HONDA,00074316 - 00087389
227,GUIA PARACHOQUE DELANTERO LH PLASTICO,TOY,00082405 - 00098205
228,CORREA 6PK1060,CORREAS,00040446 - 00089167
229,FILTRO ACEITE W713/1 NISSAN V16 93-02/120/130/140/,FILTROS,00080057 - 00080058
230,ROTULA INF NISS 39 MM V16/SENTRA II,NISSAN,00032571 - 00035436
231,ABRAZADERA MANG INOX 84-108 MM # 60,ABRAZADERAS,00012807 - 00012808
232,SOPORTE MOTOR TOY TERCEL TW,TOY,00032840 - 00032841
233,EMBLEMA GREAT WALL SAFE TRAS / LAT,ACCESORIOS,00025386 - 00025393
234,EMBLEMA NISSAN SENTRA,ACCESORIOS,00013990 - 00060802
235,GOLILLA PLANA INOX 1/4,GOLILLA PLANA,00011319 - 00067646
236,C 2419 KENDALL,FILTROS,00017497 - 00038879
237,BUJE ARRANQ 551 STD,ELECTRICO,00036799 - 00039044
238,KIT EMB SUB LEGACY 1.8/2.0/2.2,SUBARU,00042012 - 00063167
239,ROTULA INF CHV DMAX 4WD 03/ LUV 87/06 4WD/ TROOPER,CHEVROLET,00073088 - 00073089
240,FAROL TRASERO RH TOYOTA HILUX,TOY,00085641 - 00091268
241,FAROL TRASERO RH TOY HILUX,TOY,00017911 - 00044046
242,CAZOLETA AMORTIGUADOR DELANTERO CHEVROLET SAIL,CHEVROLET,00088115 - 00093748
243,ROTULA BANDEJA INFERIOR LH/RH TOYOTA HILUX,TOY,00082893 - 00087095
244,BOMBA FRENO CHEVROLET,CHEVROLET,00012137 - 00097159
245,PIOLA FRENO MANO TRAS RENAULT 5 5PTS,RENAULT,00053697 - 00053698
246,DISPON,ROTACION ,00008053 - 00008060 - 00008061 - 00008067 - 00008068 - 00008071 - 00008073
247,SET AMP LED 12V 21/5W 2PZA,ROTACION ,00007172 - 00007173
248,CONDENSO 0.22 SC-262 SUPER NISSAN,ELECTRICO,00000295 - 00027024
249,PATIN FRENO TOY YARIS 99-2005 SEDAN/SPORT,TOY,00035983 - 00035993
250,CORREA 5PK1425,CORREAS,00088975 - 00094209
251,PRENSA EMBRAGUE SUZUKI GRAN NOMADE,SUZUKI,00081898 - 00082560
252,BANDEJA SUSPENSION RH INFERIOR COMPLETA CHEVROLET,CHEVROLET,00093566 - 00093747
253,MANGUERA INF RADIADOR TY TERCEL EL53,MANGUERAS,00048293 - 00048296
254,REPARACION BENDIX,ELECTRICO,00028720 - 00032232 - 00064493
255,PAST FRENO DELANT MAZDA 3 15/19,PASTILLA FRENO,00029633 - 00076907
256,JUEGO CADENA NIEVE ARO,ART. SEGURIDAD VEHICULO,00034222 - 00034225
257,FILTRO BENCINA ESTANQUE TOY YARIS,FILTROS,00018794 - 00064562
258,EMP MOTOR,ENCARGO,00200812 - 00200815
259,FAROL ESQ LH NISS V16 93/99 BLANCO LISO,NISSAN,00035714 - 00061588
260,VOLANTE DEPORT CARBONO,ACCESORIOS,00026034 - 00036020
261,AMORTIGUADOR DEL RH HY ACCENT 94/99,HYUN,00049335 - 00052199
262,EXTREMO DIRECCION TERMINAL EXT DER MOD BU80/BU83 M,TOY,00079900 - 00079901
263,C 16006 KENDALL,FILTROS,00035071 - 00043974
264,BANDEJA SUSPENSION LH INFERIOR COMPLETA TOYOTA HIL,PEUG,00081677 - 00092087
265,JUEGO PERNO CULATA TOY TERCEL 1.5 95/99,TOY,00038898 - 00069588
266,CUBRE VOLANTE GRIS,ACCESORIOS,00013723 - 00077839
267,MASCARA TY TERCEL 98/99,TOY,00049135 - 00050000
268,SOPORTE C/CAMBIO TY TERCEL 95/99,SOPORTES,00049983 - 00049984
269,BANDEJA SUSPENSION RH INFERIOR COMPLETA,MAZDA,00083325 - 00088532 - 00088533
270,DISCO FRENO DELANTERO VENTILADO TOYOTA HILUX,PEUG,00084561 - 00091266
271,CORREA LISA 9.5X1060,CORREAS,00025662 - 00057580
272,PARACHOQUE DEL TOY TERCEL,TOY,00067520 - 00067698
273,REPARACION INDUCIDO 12V,ELECTRICO,00032272 - 00044691
274,RODAMIENTO EMPUJE,VARIOS ,00113628 - 00201562
275,ESPEJO PUERTA NEGRO LH TOYOTA HILUX,TOY,00080280 - 00082167
276,PARACHOQUE TRAS NEGRO TOY HILUX,TOY,00018552 - 00069176
277,MANGUERA FRENO NS,NISSAN,00051114 - 00051115
278,AMORT DEL RH CHEV CORSICA 87/91,CHEVROLET,00041840 - 00041841
279,FILTRO AIRE,FILTROS,00082500 - 00098305
280,CABLE F/ MANO TY HILUX 2800 GUN 126,TOY,00092279 - 00092280
281,EMBLEMA CORSA,ACCESORIOS,00013873 - 00060810
282,BOMBA AGUA NISS V16,NISSAN,00066820 - 00068034
283,PARACHOQUE DELANTERO HYUNDAI PORTER II,HYUN,00058152 - 00082259
284,PARACHOQUE DELANTERO KIA SPORTAGE 0,KIA,00093607 - 00093618
285,TENSOR,ENCARGO,00200713 - 00202981
286,PORTALON CON MANILLA CENTRAL TOYOTA HILUX,TOY,00089854 - 00093261
287,REGULADOR DE FRENO ISUZU,ISUZU,00032168 - 00032169
288,BUJIA 3 ELECTRODOS VW GOLF A3,BUJIAS,00040886 - 00042371
289,CORREA 4PK1090,CORREAS,00062646 - 00088943
290,RELAY 12V 4P LUCES TOY TW,ELECTRICO,00028696 - 00028701
291,WK 613/3,FILTROS,00005907 - 00096996
292,DISCO FRENO,VARIOS ,00113840 - 00201457 - 00201534
293,CULATA,ENCARGO,00200514 - 00201200
294,RECOGEDOR ACEITE USADO 70LTS SAMOA,VARIOS ,00067039 - 00075338
295,TERMINAL DIRECCION NISSAN,VARIOS ,00055971 - 00055972 - 00055973
296,INTERRUPTOR ALZA VIDRIO TRAS DER-IZQ HYUNDAI,HYUN,00091865 - 00091867
297,BULBO FRENO PEDAL HY ACCENT 06/,HYUN,00053400 - 00077288
298,CORREA 4PK920,CORREAS,00017009 - 00089908
299,PEDALERA AZUL,ACCESORIOS,00036087 - 00036088 - 00036091 - 00036093
300,CADENA DISTRIBUCION HY NEW ACCENT CRDI,HYUN,00051038 - 00051039
301,PAST FRENO SPRINTER 515 TRAS PF417GTX,PASTILLA FRENO,00060965 - 00060966
302,RETEN 42X60X7 DEL CIG TOY HILUX 3.0 02/05,RETENES,00066388 - 00066389
303,FILTRO AIRE AVV50,ROTACION ,00112046 - 00113772
304,BANDEJA INF LH TOY YARIS 06/13,TOY,00065371 - 00093515
305,KIT,AMPOLLETA,00041143 - 00041146 - 00050500 - 00050501 - 00050549 - 00050550
306,GOLILLA INYECTOR PRESION,PEUG,00085061 - 00087725
307,BOBINA PEUGEOT 206 2.0,PEUG,00079702 - 00079703
308,JUEGO CABLE BUJIA CHEV OPTRA 1.6,CHEVROLET,00034478 - 00040898
309,PASTILLA FRENO NISSAN,NISSAN,00088708 - 00098688
310,PLUMILLA UNIT EXCEL,VARIOS ,00080106 - 00080107
311,DISCO FRENO DELANTERO VENTILADO CITROEN BERLINGO,CITROEN,00073023 - 00092554
312,EMPAQUETADURA MULTIPLE ESCAPE NISSAN,NISSAN,00018273 - 00097679 - 00099665
313,TERMINAL DIR RH PEUG 308,PEUG,00035717 - 00054676
314,MANILLA EXT TRAS LH TOY TERCEL 90/94,TOY,00035801 - 00055597
315,CANDADO,HERR.OTRAS MARCAS,00024926 - 00024927 - 00024930 - 00024933 - 00024934 - 00024935
316,TERMOSTATO CHEVROLET SPARK,CHEVROLET,00068248 - 00099394
317,AMPOLLETA H4 P45 24V 75/70W TW,AMPOLLETA,00001454 - 00105076
318,RODAMIENTO EMBRAGUE COMPLETO TOYOTA COROLLA,VARIOS ,00086764 - 00086767
319,METAL BIELA,ENCARGO,00200701 - 00200758
320,LUZ DESTELLANTE BLANCO,AMPOLLETA,00066160 - 00066166
321,PATIN FRENO CHEV DMAX 4WD,CHEVROLET,00019083 - 00064926
322,OPTICO TOY KUN,TOY,00049262 - 00049263
323,BOMBA AGUA CITROEN BERLINGO,CITROEN,00054594 - 00082911 - 00084787
324,ROTULA,VARIOS ,00055978 - 00200874 - 00201129
325,4PK-830,CORREAS,00041232 - 00112227
326,BANDEJA INF RH TOY TERCEL 2E/3EE/5EFE 90/97,TOY,00049125 - 00049126
327,TERMOSTATO CHEV LUV,CHEVROLET,00066886 - 00085438
328,C 2329/1 KENDALL,FILTROS,00017484 - 00040362
329,POLEA RUEDA LIBRE 28752,ELECTRICO,00044982 - 00089750
330,PARACHOQUE DEL TOY HILUX,TOY,00042573 - 00078083 - 00078260
331,PLUMILLA 24 CURVA,ACCESORIOS,00001280 - 00068272
332,WK 842/18,FILTROS,00005965 - 00049845
333,FAROL LATERAL 10 LED BI-VOL 100 MM CORBATA STROBO,FAROLES,00056249 - 00058035
334,REFRIGERANTE,ENCARGO,00200586 - 00200710 - 00200816 - 00202883
335,POLEA RUEDA LIBRE,ROTACION ,00007553 - 00087558 - 00089749 - 00091907
336,CORREA 7PK990,CORREAS,00082224 - 00098122
337,TERMINAL ACERO INOX,ACCESORIOS,00048373 - 00048374
338,TUERCA RUE CROM M12 P1.5 HEX 19,TUERCA RUEDA,00024410 - 00024415
339,LOGO TOYOTA CROMO,ROTACION ,00008066 - 00008069 - 00008070
