,Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
179,00003650,Letras y numeros,C 1186,,,,,,
180,00003653,Letras y numeros,C 1195,,,,,,
181,00003654,Letras y numeros,C 1198,,,,,,
182,00003655,Letras y numeros,C 1205,,N,,,,
183,00003656,Letras y numeros,C 1206,,,,,,
184,00003657,Letras y numeros,C 1207,,,,,,
185,00003658,Letras y numeros,C 1212,,,,,,
186,00003659,Letras y numeros,C 1213,,,,,,
187,00003661,Letras y numeros,C 1243,,N,,,,05/04/2014
188,00003662,Letras y numeros,C 1249,,,,,,
189,00003663,Letras y numeros,C 1254,,N,N,,,06/02/2017
190,00003664,Letras y numeros,C 1261,,,,,,
191,00003667,Letras y numeros,C 1263,,,,,,
192,00003668,Letras y numeros,C 1270,,,,,,
193,00003671,Letras y numeros,C 1277,,,,,,
194,00003676,Letras y numeros,C 1296,,,,,,
195,00003678,Letras y numeros,C 1311,,,,,,
196,00003679,Letras y numeros,C 1312,,,,,,
197,00003681,Letras y numeros,C 1316,,,,,,
198,00003682,Letras y numeros,C 1323,,,N,,,27/07/2013
199,00003683,Letras y numeros,C 1327,,,,,,
200,00003684,Letras y numeros,C 1327/1,,,,,,
201,00003685,Letras y numeros,C 1337,,,,,,
202,00003686,Letras y numeros,C 1338,,,,,,
203,00003687,Letras y numeros,C 1338/1,,,,,,
204,00003688,Letras y numeros,C 1340,,,N,,,16/01/2019
205,00003689,Letras y numeros,C 1344,,,,,,
206,00003691,Letras y numeros,C 1368,,,,,,
207,00003692,Letras y numeros,C 1370,,N,,,,21/03/2016
208,00003693,Letras y numeros,C 1370/1,,,,,,
209,00003694,Letras y numeros,C 1371,,,N,S,17/11/2011,
210,00003698,Letras y numeros,C 1381,,,,,,
211,00003699,Letras y numeros,C 1383,,,,,,
212,00003701,Letras y numeros,C 1394/1,,,,,,
213,00003702,Letras y numeros,C 1397,,,,,,
214,00003704,Letras y numeros,C 1411,,,,,,
215,00003705,Letras y numeros,C 1413,,,N,,,19/07/2013
216,00003707,Letras y numeros,C 1417,,,N,,,23/03/2016
217,00003712,Letras y numeros,C 1434,,,,,,
218,00003714,Letras y numeros,C 1441,,,N,,,21/01/2014
219,00003715,Letras y numeros,C 1448,,,,,,
220,00003716,Letras y numeros,C 1449,,,,,,
221,00003717,Letras y numeros,C 1450,,,,,,
222,00003718,Letras y numeros,C 1451,,,,,,
223,00003720,Letras y numeros,C 1465,,,,,,
224,00003723,Letras y numeros,C 1469,,,,,,
225,00003725,Letras y numeros,C 1472,,,N,,,29/03/2019
226,00003726,Letras y numeros,C 1478/10,,,,,,
227,00003727,Letras y numeros,C 1489,,,N,,,06/11/2015
228,00003729,Letras y numeros,C 1511,,,,,,
229,00003730,Letras y numeros,C 1513,,,,,,
230,00003731,Letras y numeros,C 1517,,,N,,,16/08/2021
231,00003732,Letras y numeros,C 1519,,,N,,,23/10/2021
232,00003733,Letras y numeros,C 1519/1,,,,,,
233,00003734,Letras y numeros,C 1520,,S,,,,21/01/2015
234,00003735,Letras y numeros,C 1521,,,,,,
235,00003737,Letras y numeros,C 1523,,,,,,
236,00003738,Letras y numeros,C 1528/5,,,,,,
237,00003739,Letras y numeros,C 1529/1,,,,,,
238,00003740,Letras y numeros,C 1534,,,,,,
239,00003741,Letras y numeros,C 1535/1,,,N,,,22/04/2022
240,00003742,Letras y numeros,C 1540,,,N,,19/10/2017,
241,00003743,Letras y numeros,C 1544,,,,,,
242,00003744,Letras y numeros,C 1552,,,,,,
243,00003745,Letras y numeros,C 1555/1,,,,,,
244,00003746,Letras y numeros,C 1555/4,,,,,,
245,00003747,Letras y numeros,C 1557,,,,,,
246,00003749,Letras y numeros,C 1567,,,,,,
247,00003751,Letras y numeros,C 1572,,,,,,
248,00003752,Letras y numeros,C 1574,,,,,,
249,00003753,Letras y numeros,C 1577/1,,,,,,
250,00003754,Letras y numeros,C 1587,,,,,,
251,00003756,Letras y numeros,C 1589/1,,,,,,
252,00003759,Letras y numeros,C 1594,,,,S,,
253,00003762,Letras y numeros,C 1596/10,,,,,,
254,00003763,Letras y numeros,C 1598,,,,,,
255,00003764,Letras y numeros,C 1610,,,,,,
256,00003766,Letras y numeros,C 1620,,,,,,
257,00003767,Letras y numeros,C 1632,,,,,,
258,00003769,Letras y numeros,C 1639,,,,,,
259,00003770,Letras y numeros,C 1640,,,,,,
260,00003771,Letras y numeros,C 1642/5,,,,,,
261,00003772,Letras y numeros,C 1647,,,,,,
262,00003773,Letras y numeros,C 1649,,,,,,
263,00003775,Letras y numeros,C 1682,,,,,,
264,00003777,Letras y numeros,C 1685,,,,,,
265,00003778,Letras y numeros,C 1720,,,,,,
266,00003780,Letras y numeros,C 1725,,,N,S,,04/07/2019
267,00003781,Letras y numeros,C 1732,,,,,,
268,00003783,Letras y numeros,C 1735,,,,,,
269,00003784,Letras y numeros,C 1737,,,,,,
270,00003785,Letras y numeros,C 1741,,,N,,,13/09/2013
271,00003786,Letras y numeros,C 1747,,,,,,
272,00003787,Letras y numeros,C 1750,,,,,,
273,00003788,Letras y numeros,C 1751,,,N,,,05/03/2021
274,00003790,Letras y numeros,C 1752,,,,,,
275,00003791,Letras y numeros,C 1753,,,N,,,16/09/2014
276,00003794,Letras y numeros,C 1767,,,,,,
277,00003796,Letras y numeros,C 1773,,,,,,
278,00003799,Letras y numeros,C 1775,,,,,,
279,00003800,Letras y numeros,C 1791,,,,,,
280,00003801,Letras y numeros,C 1796,,,,,,
281,00003802,Letras y numeros,C 1814,,,,,,
282,00003803,Letras y numeros,C 1817,,,,,,
283,00003804,Letras y numeros,C 1819,,,,,,
284,00003805,Letras y numeros,C 1820,,,,,,
285,00003806,Letras y numeros,C 1821,,,,,,
286,00003807,Letras y numeros,C 1822,,,,,,
287,00003809,Letras y numeros,C 1824,,,N,,,12/09/2013
288,00003812,Letras y numeros,C 1830,,,,,,
289,00003814,Letras y numeros,C 1834,,N,N,S,,28/01/2021
290,00003815,Letras y numeros,C 1839,,,,,,
291,00003816,Letras y numeros,C 1842,,,,,,
292,00003817,Letras y numeros,C 1847,,,,,,
293,00003819,Letras y numeros,C 1863,,,,,,
294,00003820,Letras y numeros,C 1870,,,,,,
295,00003822,Letras y numeros,C 1892,,,,,,
296,00003823,Letras y numeros,C 1901,,,,,,
297,00003824,Letras y numeros,C 1908,,,,,,
298,00003825,Letras y numeros,C 1917,,,,,,
299,00003826,Letras y numeros,C 1921,,N,,,,11/08/2014
300,00003827,Letras y numeros,C 1922,,,,,,
301,00003829,Letras y numeros,C 1925,,,N,,,28/11/2015
302,00003831,Letras y numeros,C 1930,,,N,S,,15/05/2018
303,00003832,Letras y numeros,C 1931,,,,,,
304,00003833,Letras y numeros,C 1932,,,,,,
305,00003835,Letras y numeros,C 1935,,,,,,
306,00003837,Letras y numeros,C 1940,,,,S,,
307,00003838,Letras y numeros,C 1940/1,,,,,,
308,00003840,Letras y numeros,C 1948,,,,,,
309,00003841,Letras y numeros,C 1948/1,,,,,,
310,00003842,Letras y numeros,C 1951,,,N,,,28/10/2015
311,00003843,Letras y numeros,C 1972,,S,N,S,,15/09/2022
312,00003844,Letras y numeros,C 1978,,,,,,
313,00003846,Letras y numeros,C 1984,,,,,,
314,00003847,Letras y numeros,C 1985,,,,,,
315,00003848,Letras y numeros,C 1989/1,,,,,,
316,00003851,Letras y numeros,C 2028,,,,,,
317,00003852,Letras y numeros,C 2029,,,,,,
318,00003853,Letras y numeros,C 2033,,N,N,,,22/06/2019
319,00003854,Letras y numeros,C 2039,,N,N,S,,
320,00003855,Letras y numeros,C 2040/1,,,,,,
321,00003858,Letras y numeros,C 2064,,,N,S,,03/11/2021
322,00003859,Letras y numeros,C 2065,,,N,,19/10/2017,
323,00003860,Letras y numeros,C 2066,,,,,,
324,00003861,Letras y numeros,C 2067,,,,,,
325,00003862,Letras y numeros,C 2070,,,,,,
326,00003863,Letras y numeros,C 2073,,,,,,
327,00003865,Letras y numeros,C 2075,,,,,,
328,00003866,Letras y numeros,C 2078,,,,,,
329,00003869,Letras y numeros,C 2088,,,,,,
330,00003870,Letras y numeros,C 2093/1,,,,,,
331,00003871,Letras y numeros,C 2095,,,,,,
332,00003877,Letras y numeros,C 2127,,,,S,,
333,00003883,Letras y numeros,C 2140/1,,,,,,
334,00003884,Letras y numeros,C 2144,,,,,,
335,00003886,Letras y numeros,C 2151,,,,,,
336,00003887,Letras y numeros,C 2154,,,N,,,
337,00003889,Letras y numeros,C 2160,,,,,,
338,00003890,Letras y numeros,C 2180,,,,,,
339,00003892,Letras y numeros,C 2195,,,,,,
340,00003900,Letras y numeros,C 2227,,,N,,,26/05/2020
341,00003902,Letras y numeros,C 2231,,,N,S,,13/06/2019
342,00003903,Letras y numeros,C 2233,,,,,,
343,00003905,Letras y numeros,C 2239,,,,S,,
344,00003906,Letras y numeros,C 2243,,,N,,,26/07/2013
345,00003907,Letras y numeros,C 2248,,,,,,
346,00003910,Letras y numeros,C 2269,,,,,,
347,00003911,Letras y numeros,C 2269x,,,,,,
348,00003912,Letras y numeros,C 2290,,,,,,
349,00003922,Letras y numeros,C 2339/1,,,,,,
350,00003927,Letras y numeros,C 2351,,,,,,
351,00003929,Letras y numeros,C 2354,,,N,,,21/08/2013
352,00003930,Letras y numeros,C 2365,,,,,,
353,00003932,Letras y numeros,C 2373,,,,,,
354,00003934,Letras y numeros,C 2375,,,,,,
355,00003935,Letras y numeros,C 2379,,,,,,
356,00003951,Letras y numeros,C 2446,N,,N,S,,22/01/2021
357,00003952,Letras y numeros,C 2446/1,,,,S,,
358,00003954,Letras y numeros,C 2452/1,,S,,,,04/09/2017
359,00003955,Letras y numeros,C 2455,,,,,,
360,00003956,Letras y numeros,C 2460,,,,,,
361,00003961,Letras y numeros,C 2489,,,,,,
362,00003967,Letras y numeros,C 2528/1,,,,,,
363,00003970,Letras y numeros,C 2534,,,,,,
364,00003973,Letras y numeros,C 2536,,,,S,,
365,00003977,Letras y numeros,C 2543,,N,N,,,19/02/2018
366,00003978,Letras y numeros,C 2544,,,,,,
367,00003981,Letras y numeros,C 2555/2,,,,,,
368,00003982,Letras y numeros,C 2558,,,N,,,07/02/2017
369,00003983,Letras y numeros,C 2558HD,,,,,,
370,00003991,Letras y numeros,C 2576,,,,,,
371,00003993,Letras y numeros,C 2585/10,,,,,,
372,00003994,Letras y numeros,C 2588,,,,,,
373,00004001,Letras y numeros,C 2630,,,,,,
374,00004003,Letras y numeros,C 2632,,,,S,,
375,00004005,Letras y numeros,C 2638,,,,,,
376,00004008,Letras y numeros,C 2641,,,,,,
377,00004009,Letras y numeros,C 2642,,,,,,
378,00004010,Letras y numeros,C 2646,,,,,,
379,00004011,Letras y numeros,C 2647,,,,,,
380,00004014,Letras y numeros,C 2650,,,,,,
381,00004016,Letras y numeros,C 2652,,,,S,,
382,00004022,Letras y numeros,C 2663HD,,,,,,
383,00004026,Letras y numeros,C 2671,,,N,,,24/03/2018
384,00004027,Letras y numeros,C 2673/1,,N,,,,04/02/2014
385,00004029,Letras y numeros,C 2693,,S,,,,17/05/2016
386,00004030,Letras y numeros,C 2694,,N,,S,24/01/2012,
387,00004042,Letras y numeros,C 2799,,,,,,
388,00004045,Letras y numeros,C 2831,,,,,,
389,00004052,Letras y numeros,C 2860/2,,,,,,
390,00004055,Letras y numeros,C 2884HD,,,,,,
391,00004056,Letras y numeros,C 2887,,,,,,
392,00004057,Letras y numeros,C 2890,,,,,,
393,00004058,Letras y numeros,C 2923,,S,N,,08/06/2010,
394,00004061,Letras y numeros,C 2934,,,,S,,
395,00004062,Letras y numeros,C 2935,N,,N,S,,05/07/2021
396,00004064,Letras y numeros,C 2938,,,,,,
397,00004065,Letras y numeros,C 2942,,,,,,
398,00004067,Letras y numeros,C 2951,,,,,,
399,00004068,Letras y numeros,C 2953,,,N,,,
400,00004070,Letras y numeros,C 2957/10,,,,,,
