,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
5604,00066562,FILTRO HIDR BT8850 MPG                            ,12/08/2019,03/07/2019,,N,,
5605,00066565,FILTRO HIDR BT8850 MPG                            ,04/12/2014,,,N,,
5606,00066568,CLAVOS DE 1 1/2 X 25 KILOS                        ,,,,,,
5607,00066570,JUNTA TORICA                                      ,04/12/2014,04/12/2014,,N,,
5608,00066571,CASQUILLO                                         ,04/12/2014,04/12/2014,,N,,
5609,00066572,JUNTA TORICA                                      ,04/12/2014,04/12/2014,,N,,
5610,00066573,RETEN DE ACEITE                                   ,04/12/2014,04/12/2014,,N,,
5611,00066574,SOPORTE ELASTICO                                  ,04/12/2014,04/12/2014,,N,,
5612,00066579,PINTADO DE PIEZA BERLINGO                         ,,04/12/2014,,N,,
5613,00066583,MALLA  5014 1.80 MTS X 25 MTS                     ,,,,,,
5614,00066589,FILTRO DECANTADOR HINO R-442                      ,27/11/2019,13/11/2020,,N,,
5615,00066591,ANGULO LAMINADO 30 X 30 X 2                       ,27/11/2015,05/04/2016,,N,,
5616,00066606,"PRS 1 1/2 X 26"" INOX 304 C/2 TCA Y 2 GOL          ",,,,,,
5617,00066610,RETEN 50X65X8                                     ,09/12/2014,28/04/2020,,N,S,
5618,00066629,CAJA REG 12V LINEA MIT IM227                      ,05/12/2014,,,,S,
5619,00066631,ALAMBRE NYA 2.5 AZUL                              ,,,,,,
5620,00066637,SERV. ALINEA. PAT FW-LV-55                        ,,10/12/2014,,N,,
5621,00066644,FLEXIBLE P/AGUA CALIENTE  30CM                    ,27/10/2022,28/10/2022,S,,,
5622,00066645,FLEXIBLE P/AGUA FRIA 30CM                         ,,,,,,
5623,00066646,PARABRISA CITROEN BERLINGO 2013 +INST             ,22/12/2014,20/12/2014,,N,,
5624,00066647,UNICOX 20LTS                                      ,05/06/2018,05/06/2018,,N,,
5625,00066650,INSTALACION SIST OPERT                            ,,,,,,
5626,00066664,RODAMIENTO DESCANSO 206-102                       ,12/12/2014,12/12/2014,,N,S,
5627,00066671,SER. ALINEAMIENTO PAT. FR-KC-77                   ,,13/12/2014,,N,,
5628,00066677,PER HEX 16 X100 P2.0 G8.8 H/COMPL                 ,13/12/2014,12/04/2018,,N,N,
5629,00066679,PERNO PARKER CAB PLANA 12X70 P1.75                ,13/12/2014,15/12/2014,,N,,
5630,00066681,PERNO RUE MAHINDRA M14X54 P1.5 EST 15.7           ,,26/06/2015,,,N,
5631,00066684,PATENTE FC-GD-21                                  ,,13/12/2014,,N,,
5632,00066689,GRUA HIDRAULICA PLEG 2 TON.MEGA                   ,,,,,,
5633,00066690,GRUA HIDRAULICA PLEG 1 TON. MEGA                  ,,,,,,
5634,00066693,DIFERENCIAL 4X63 AMP  30 MA.                      ,06/10/2020,28/09/2020,,N,,
5635,00066695,SERV MONTAJE PQTE RESORTES IVECO                  ,,16/12/2014,,N,,
5636,00066710,TELECOMANDO HYUNDAI HD78 A�O 2010                 ,,,,,,
5637,00066714,TEE SAN 110 X 50                                  ,28/11/2015,28/11/2015,,N,,
5638,00066715,TEE SAN 110 X 110                                 ,13/11/2019,13/11/2019,,N,,
5639,00066716,CODO SAN 50 X 90                                  ,10/09/2019,10/09/2019,,N,,
5640,00066717,TUBO PVC SAN 50 X 6                               ,16/01/2015,15/01/2015,,N,,
5641,00066718,TUBO PVC SAN 110 X 6                              ,08/06/2020,11/06/2020,,N,,
