,Codigo,Descripcion,Grupo,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
65,00000602,"MANOM.600 PSI 2 1/2 BR/INOX C/ABAJO NPT 1/4""      ",ROTACION ,,,,N,N,
66,00000604,"MANOM.600 PSI 2 1/2 BR/INOX C/ATRAS NPT 1/4""      ",ROTACION ,,,,N,N,
67,00000616,"MANOM.600 PSI 4"" BR/INOX C/ ATRAS NPT 1/2         ",ROTACION ,,,,N,,
68,00000697,PLUMILLA LIMPIA PARABRISA COPILOTO T60            ,ROTACION ,,,,,,
69,00000710,PLUMILLA LIMPIA PARAB.CONDUCTOR T60               ,ROTACION ,,,,,,
70,00000753,ESCOBA DE RAMAS 5 COSTURAS  KLEINE 5815177        ,ROTACION ,,,,,,
71,00000754,"NIPLE PRES HE 1.1/2""                              ",ROTACION ,,,,N,,
72,00000757,NEUMATICO 295/80 R22.5 18PR REV WESTLAKE          ,ROTACION ,,,,,,
73,00000766,BOMBA P620 CLS EJE SAE 4340                       ,ROTACION ,,,,,,
74,00000767,SELLO MECAN.PAC-SEAL 35 VI31-137-16               ,ROTACION ,,,,,,
75,00000768,RODAMIENTO 32218 1DS KML                          ,ROTACION ,,,,,,
76,00000814,RODAMIENTO 32218 A-164 ROLLWAY                    ,ROTACION ,,,,N,,
77,00000839,"LLAVE PTA CORONA FORCE 2""  1/4                    ",ROTACION ,,,,,,
78,00000844,TRIPODE BENRO T800EX   6074                       ,ROTACION ,,,,,,
79,00000845,CAMARA SONY FDR-AX53 4K ULTRA HD                  ,ROTACION ,,,,,,
80,00000850,BOMBA DE ENGRASE NEUM�TICA 60:1 WOLFLUBE          ,ROTACION ,,,,,,
81,00000853,"LAVE PTA CORONA ELORA  2"" 1/4                     ",ROTACION ,,,,N,,
82,00000854,"LLAVE PTA CORONA ELORA  2"" 3/16                   ",ROTACION ,,,,,,
83,00000855,"LLAVE GOLPE PTA CXORONA PLANA ELORA 2"" 9/16       ",ROTACION ,,,,,,
84,00000862,TORNILLO JET SCREW 6.0X100 PTA.17                 ,ROTACION ,,,,,,
85,00000865,TORNILLO SCREW RAN 4.0X30 PTA 17                  ,ROTACION ,,,,,,
86,00000866,SET PUNTAS IMPAKTOR PZ2 X 25MM 15 PZAS.           ,ROTACION ,,,,,,
87,00000867,PERNO CONECTOR 19X105                             ,ROTACION ,,,,,,
88,00000880,CAJA PORTA CTA CTE MET�LICO 15CM2                 ,ROTACION ,,,,,,
89,00000881,BOQUILLA KOIKE 106D-7 ( 106D-7-0                  ,ROTACION ,,,,,,
90,00000882,BOQUILLA 106D-7 KOIKE 7-1                         ,ROTACION ,,,,,,
91,00000883,BOQUILLA 106D-7 KOIKE 7-2                         ,ROTACION ,,,,,,
92,00000884,BOQUILLA 106D-7 KOIKE 7-3                         ,ROTACION ,,,,,,
93,00000932,FLAPPER C/ CADENA METALICA  FANALOZA 57592        ,ROTACION ,,,,,,
94,00000933,VALVULA DE ADMISION PLASTICO FILLPRO 382191       ,ROTACION ,,,,,,
95,00000938,NEUMATICO 165/80 R14 GOODYEAR DURAPLUS            ,ROTACION ,,,,,,
96,00000943,RODAMIENTO 78250-20024 TIMKE                      ,ROTACION ,,,,,,
97,00000944,RODAMIENTO 78551-20024 CUBETA TIMKEN              ,ROTACION ,,,,,,
98,00000945,RODAMIENTO 479 TIMKEN                             ,ROTACION ,,,,,,
99,00000946,RODAMIENTO 472 A- CUBETA TIMKEN                   ,ROTACION ,,,,,,
100,00000948,MANOMETRO BTU 0+7 BAR 0+1000PS O 100MM 1/2 NPT INO,ROTACION ,,,,,,
101,00000949,MANOMETRO IND  INOX SS316L DIAMETRO ESF 100 MM    ,ROTACION ,,,,,,
102,00000954,EQUIPO HERMETICO TRI 120 CM HALUX  3967867        ,ROTACION ,,,,,,
103,00000955,EQUIPO HERMETICO TRI 60 CM HALUX PROOF 3967859    ,ROTACION ,,,,,,
104,00000956,CORDON 2X0.75 MM BLANCO 20 MT ELFLE 116262        ,ROTACION ,,,,,,
105,00000957,ENCHUFE MACHO  VOLANTE ARTIC. 2P+10A BLANCO BTICIN,ROTACION ,,,,,,
106,00000958,INTERRUPTOR VOL. PISO 10A BLANCO HALUX            ,ROTACION ,,,,,,
107,00000959,INTERRUPTOR VOL.BIPOLAR 2A BLANCO BTICINO         ,ROTACION ,,,,,,
108,00000960,REGLETA POLIPROPILENO 41 A 12 BORNES 63436        ,ROTACION ,,,,,,
109,00000961,ENCHUFE HEMBRA VOL.2P+T10 A 16A BLANCO GEWISS     ,ROTACION ,,,,,,
110,00000968,TORNILLO VOLCANITA CRS ZRB 8X3 100UN              ,ROTACION ,,,,,,
111,00000969,TORN.DRYWALL METAL 6X2 1/4 NR P/F                 ,ROTACION ,,,,,,
112,00000970,DADO IMPACTO LARGO 1 X 1.1/8 FORCE 6396394        ,ROTACION ,,,,,,
113,00000971,JGO.DADOS 1/2 IMPACTO ALLEN 7 PZAS FORCE          ,ROTACION ,,,,,,
114,00000973,"LLAVE TORQUE HANS 1"" 980 NEWTON /MT HANS          ",ROTACION ,,,,,,
115,00000974,ESLINGA PLANA 4 CAPAS 4 MTS                       ,ROTACION ,,,,,,
116,00000975,ESLINGA 4 CAPAS X 5 MTS                           ,ROTACION ,,,,,,
117,00000976,ESLINGA TUBULAR 1 TON 4MTS                        ,ROTACION ,,,,,,
118,00000977,"GRILLETE TIPO LIRA 1/2"" P/ ROSCADO                ",ROTACION ,,,,,,
119,00000978,GRILLETE TIPO LIRA 3/4 P/ ROSCADO                 ,ROTACION ,,,,,,
120,00000979,"GRILLETE TIPO LIRA 1"" P/ ROSCADO                  ",ROTACION ,,,,,,
121,00000980,GRILLETE TIPO LIRA 1.1/4 P/ ROSCADO               ,ROTACION ,,,,,,
122,00000981,TIE DOWN RACHET 1 1/2 4.5 MTS                     ,ROTACION ,,,,,,
123,00000982,"TIE DOWN RATCHET 2"" X 9 MTS                       ",ROTACION ,,,,,,
124,00000983,"ESLINGA PLANA 3"" X 4 MT                           ",ROTACION ,,,,,,
125,00000984,SENSOR VIBRACION CMSS 420VT=CMCP 4120VT-1         ,ROTACION ,,,,,,
126,00000985,LINEA DE VIDA HORIZONTAL 10 MT                    ,ROTACION ,,,,,,
127,00000986,CABO DE VIDA ACERO GANCHO MOSQUETONES /ESTRUCT.   ,ROTACION ,,,,,,
128,00000987,"TIE DOWN RATCHET 1"" 4.5 MTS                       ",ROTACION ,,,,,,
129,00000988,TALADRO PEDEST. IND. 32MM 2HP 380V                ,ROTACION ,,,,,,
130,00000989,TORNILLO DRYWALL METAL 6X1 1/4 NR P/F             ,ROTACION ,,,,,,
131,00000990,HEMBRA EMPOT.INCLI. 2P+T 32A 220V IP44            ,ROTACION ,,,,,,
132,00000992,PULVERIZADOR MANUAL 1.5 LT BLANCO                 ,ROTACION ,,,,,,
133,00000993,BARNIZ MARINA BRILLANTE NATURAL 1/4 GL            ,ROTACION ,,,,,,
134,00000994,FAROL PUNTA  LH HYUNDAI HD78 2007                 ,ROTACION ,,,,,,
135,00000997,CONTENEDOR BASURA VERDE 120 LT C/ TAPA            ,ROTACION ,,,,,,
136,00000998,CONTENEDOR BASURA AZUL 120 LT C/ TAPA             ,ROTACION ,,,,,,
137,00000999,ESPEJO CONVEXO 80 CM INTERIOR                     ,ROTACION ,,,,,,
138,00001001,ALUMINIO PLANCHA 2.0X1100 X 3000MM                ,ROTACION ,,,,,,
139,00001002,"MOTOBOMBA KIPOR KDP-30 3"" X3 6.7 HP DIESEL        ",ROTACION ,,,,,,
