Descripcion,Duplicados,Stock Bodega,Inventario Bodega,Stock Matriz,Inventario Matriz,Stock La Serena,Inventario La Serena,Stock Industrial,Inventario Industrial,Ult. compra,Ult. venta
TUERCA HEX INOX 7/8,"-00011091
-00102610
","0
0
","S
S
","298
0
","N
N
","2
0
","N
","62
0
","N
","02/02/2023
12/03/2022
","24/01/2022
11/03/2022
"
"DADO IMPACTO CROSSMAN 2"" 5/16","-00095243
-00095244
","0
0
","S
S
","0
0
",,"0
0
",,"0
0
",,"

","

"
ACOPLE RAPIDO 1/4 - 1/8 GAS MACHO BRONCE,"-00021322
-00021362
","0
0
","S
S
","29
0
","N
N
","0
0
","N
","0
0
",,"31/01/2023
04/03/2014
","28/02/2022
10/12/2013
"
CORREDERA D-100,"-00074181
-00088026
","0
0
","S
S
","0
2
","N
N
","0
0
","N
","0
8
","N
","13/12/2019
07/02/2023
","13/12/2019
26/01/2022
"
PARACHOQUE TRASERO HYUNDAI,"-00089571
-00089674
","0
0
","S
S
","0
1
","N
N
","0
0
","N
N
","0
0
",,"05/10/2018

","05/10/2018
12/10/2018
"
PEDALERA AZUL,"-00036087
-00036088
-00036091
-00036093
","0
0
0
0
","S
S
S
S
","0
0
0
0
","N
","0
0
0
0
","N
N
N
N
","0
0
0
0
",,"05/05/2015
23/03/2012
09/12/2011
30/11/2011
","24/06/2014
08/03/2012
02/07/2011
02/07/2011
"
ACOPLE RAPIDO 1/2 - 3/8 GAS MACHO BRONCE,"-00021330
-00021365
","0
0
","S
S
","4
0
","N
N
","0
0
","N
","4
0
","N
","27/10/2021
04/05/2016
","28/02/2022

"
"COMPAS RECTO 10"" #2187","-00011462
-00103225
","0
0
","S
S
","0
0
","N
N
","0
0
",,"0
0
",,"19/07/2017
28/01/2014
","06/05/2010
04/03/2011
"
TUERCA HEX INOX 5/8,"-00011089
-00100325
","0
0
","S
S
","-18
0
","N
N
","60
36
","S
N
","79
0
","N
","30/01/2023
16/02/2022
","16/02/2023
08/07/2021
"
FOCO FAENA 14 LED RED 9-33V BLST CORTO HELLA ALC H,"-00094941
-00094943
","0
0
","S
S
","0
0
","S
S
","0
2
","N
N
","0
0
","N
N
","15/11/2021
14/07/2021
","27/12/2019
28/05/2020
"
TUERCA SEG PLAST MM 24 P-1.5,"-00011170
-00105080
","0
0
","S
S
","32
0
","N
N
","25
0
","S
","3
0
","N
","20/12/2022
24/08/2021
","20/08/2022
24/08/2021
"
PERNO HEX ZINC 1.1/4x6.1/2,"-00051395
-00054183
","0
0
","S
S
","0
0
",,"0
0
",,"0
0
",,"

","

"
CARPETA CON ACCO AZUL,"-00067131
-00111105
","0
0
","S
S
","15
15
","N
N
","0
0
",,"0
0
",,"19/01/2015

","13/09/2022
09/01/2023
"
EMBRAGUE MOTOR ARRANQ ZEN,"-00027162
-00027163
-00027164
-00027165
","0
0
0
0
","S
S
S
S
","0
0
0
0
",,"0
0
0
0
",,"0
0
0
0
",,"



","



"
LIJA FIERRO # 280,"-00006110
-00112648
","0
0
","S
S
","48
0
","S
","0
0
","N
","0
94
","N
S
","06/02/2023
29/11/2022
","29/09/2022
26/10/2022
"
FILTRO DE ACEITE,"-00006254
-00018125
","0
0
","S
S
","0
0
","N
N
","0
0
","N
","0
0
",,"17/08/2022
24/11/2021
","17/08/2022
19/11/2021
"
LIMA,"-00006521
-00006799
","0
0
","S
S
","0
0
","N
N
","0
0
",,"0
0
",,"
19/03/2022
","
18/12/2021
"
GOLILLA PRESION GALV 5/8,"-00053711
-00100585
","0
0
","S
S
","0
0
","N
","0
0
","N
","228
0
","N
","09/06/2022

","07/04/2022
30/06/2010
"
GOLILLA PLANA 1.3/8 CALIB,"-00011352
-00052523
","0
0
","S
S
","9
78
","N
N
","0
0
","N
","0
0
",,"08/01/2016
02/03/2017
","
11/12/2013
"
GOLILLA PRESION GALV 1,"-00053139
-00109438
","0
0
","S
S
","27
0
","N
","0
0
","N
","0
0
",,"15/02/2020

","12/02/2020

"
FAROL LATERAL 10 LED BI-VOL 100 MM CORBATA STROBO,"-00056249
-00058035
","0
0
","S
S
","0
52
","S
S
","0
46
","N
N
","4
26
","N
S
","20/10/2022
15/02/2023
","15/03/2021
09/12/2022
"
