Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
00012218,MESA PLEGABLE  180 X 74X 74CM BLANCO              ,11/08/2022,11/08/2022,N,N,,
00012219,SILLA VENECIA BLANCA 1943                         ,,,,,,
00012220,"CABINA ARENADORA BIG RED 33"" X 22"" X 18 LIM PIEZAS",23/08/2022,23/08/2022,N,N,,
00012221,SILLA MANGO C  44X48X80 BLANCO                    ,12/08/2022,12/08/2022,N,N,,
00012222,TORNILLO MADERA  DRYW  S 6X2                      ,16/11/2022,21/11/2022,N,N,,
00012223,BISAGRA L86   3X 3                                ,17/08/2022,18/08/2022,N,N,,
00012224,PORTA CANDADO  915  3 1 LIOI                      ,17/08/2022,18/08/2022,N,N,,
00012225,TORNILLO ESCUADRA 3 GAL                           ,17/08/2022,18/08/2022,N,N,,
00012226,OLEO SINT CONST VERDE TREBOL SOQUINA GL           ,17/08/2022,18/08/2022,N,N,,
00012227,OLEO SINT CONST  BLANCO SOQUINA GL                ,13/12/2022,13/12/2022,N,N,,
00012228,AGOREX 600 BLANCO 300ML                           ,03/09/2022,07/09/2022,N,N,,
00012229,LINTERNA SL 20L NEGRA RECAR                       ,,,,,,
00012230,CONECT.NEXXT RJ-45 CAT6 PACK 100                  ,,,,,,
00012231,CABLE ADAPT DE 2M USB-C A HDMI 4K 60HZ N USB C    ,26/08/2022,26/08/2022,N,N,,
00012232,RODAMIENTO MASA  DMAX 2019 4 X4                   ,,,,,,
00012233,PERNO RUEDA DMAX DL                               ,,,,,,
00012234,TUERCA RUEDA CROM DMAX                            ,,,,,,
00012235,ATLA SWIRE CONEC RJ45 PASSTHRU EZ CAT 6 MACHO 100 ,25/08/2022,26/08/2022,N,N,,
00012239,ATLA SWIRE CRIMPEADORA PROF RJ 45 PASS THRU EZ    ,25/08/2022,26/08/2022,N,N,,
00012240,PRENSA HIDRAULICA 30 TON BIG RED 0-770MM          ,,,,,,
00012241,CALEFONT TN TEMP SPLENDID  16 LTS                 ,,,,,,
00012246,CALEFONT  TN  JUNKERS 16L                         ,,,,,,
00012247,COMPRESOR AIRE ACON CR14  2A 12V  132MM           ,,,,,,
00012248,PUNTO CENTRO 1 5 A 4MM 5 PZAS GROZ                ,,,,,,
00012249,EXTRACTOR PERNOS DE 1/4 -1/2 N10 RIDGID           ,,,,,,
00012250,EXTRACTOR PERNOS M3.M45  JGO 8 PZAS ELORA         ,26/08/2022,26/08/2022,N,N,,
00012251,JGO MACHOS  5/16 UNC VOLKEI                       ,,,N,N,N,
00012252,JGO MACHOS  3/8 UNC VOLKEI                        ,,,,,,
00012253,JGO MACHOS  1/2 UNC  VOLKEI                       ,,,,,,
00012255,JGO MACHOS  5/8 UNC VOL KEI                       ,,,,,,
00012256,JGO MACHOS 3/4 UNC VOLKEI                         ,,,,,,
00012257,"JGO MACHOS  1"" 1/4  UNC VOLKEI                    ",,,,,,
00012258,"JGO MACHOS  1"" 3/4 UNC  VOLKEI                    ",,,,,,
00012259,MACHO  NPT 1/8 VOLKEI                             ,,,,,,
00012260,MACHO NPT  1/4 VOLKEI                             ,,,,,,
00012262,MACHO NPT 1/2 VOLKEI                              ,,,,N,N,
00012263,JGO MACHOS M8 X 1.25MM                            ,,,,,,
00012264,JGO MACHOS  M10X1 75MM VOLKEI                     ,,,,,,
00012265,JGO MACHOS  M12 X 1 75 VOLKEI                     ,,,,,,
00012268,JGO MACHOS M14X1.75 MM VOLKEI                     ,,,,,,
00012270,JGO MACHOS M16X X2.0MM VOLKEI                     ,,,,,,
00012272,JGO MACHOS M 20X2.5MM VOLKEI                      ,,,,,,
00012273,JGO MACHOS M24 X  3.0MM VOLKEI                    ,,,,,,
00012274,ABRAZADERA G-450  FORJADA  3/8                    ,,,,,,
00012278,RECOGEDOR ACEITE USADO 65 LTS ACO  POHC-2081      ,,,,,,
00012279,KIT 15 MTS MANGUERA DUPLEX PRENSADA               ,,,,,,
00012280,KIT 30MTS MANGUERA DUPLEX OXICORTE PRENSADA       ,,,,,,
00012281,ESCALA TELESCOPICA FIBRA DE VIDRIO ALU  6 4 MTS   ,,,,,,
00012282,SOLDADURA SUPER ALLOY 3/32  2 4MM  5K             ,,,,,,
00012284,ENCHUFE MINI UHF CONECTOR                         ,01/10/2022,03/10/2022,N,N,,
00012285,CEMENTO SC-2000 VIIPAL  LITRO C/ CATA             ,,,,,,
00012286,SPRAY MARSON 485 GRS  BLANCO                      ,,,,,,
00012287,SPRAY MARSON 485 GRS ROJO                         ,,,,,,
00012288,PACK  2 FOCOS FAENEROS LED CUAD  10 A 32 VOL 6LED ,,,,,,
00012289,BALIZA LED AMBAR 12 A 48V   40 LED                ,,,,,,
00012290,TEE A - 105 CL 3000 NPT  3/8                      ,,,,,,
00012291,BATERIA AC DELCO  150 AMO -/+ HEAVY DUTY          ,,,,,,
00012292,SACO ARANA CUARZO 20 KGS                          ,14/09/2022,14/09/2022,N,N,,
00012293,BARRA SEG EXPA   2 5 MT X 96CM AMARILLA           ,,,,,,
00012295,NEUM 12-16.5 CL 721 14PR TL WST/BRT 14 TELAS      ,,,,,,
00012296,CINTA ANTIDESLIZANTE TRUPPER   33MTS X 48MM A/N   ,,,,,,
00012298,JGO BROCAS A/COBALTO 8% 25 PZS (1-13)MM JK        ,27/10/2022,27/10/2022,N,N,,
00012299,LIQUIDO FRENOS DOTA MOBIL 1000CC                  ,,,,,,
00012300,SOLDADURA GRITEC GRILUMIN 14 3 25MM               ,,,,,,
00012301,ESCALERA TIJERA FV 2 5 EKOLINE                    ,,,,,,
00012302,CONFIGURACION RADIOS BASES                        ,,,,,,
00012304,PLACAS  FIBRA MODELO ORTEGA MARCA ARMSTRONG 12    ,,,,,,
00012305,EXTENSION  CARRETE  25MTS  RITTING                ,19/10/2022,19/10/2022,N,N,,
00012306,GPS OUTDOOR MAP 65                                ,,,,,,
00012307,JGO MACHOS Y TERRAJAS MM JHON                     ,03/11/2022,03/11/2022,N,N,,
00012308,LLAVE IMPACTO SIOUX NEUMAT  3/4                   ,,,,,,
00012309,LLAVE IMPACTO SIOUX  1/2                          ,07/11/2022,29/10/2022,N,N,,
00012311,PERMATEX  272  50 LL                              ,,,,,,
00012312,PERMATEX 272  50 ML                               ,,,,,,
00012323,REFRIGERADOR SAMSUNG NO FROST 257 LBS             ,,,,,,
00012328,RODAMIENTO LM 300849/11  KOYO                     ,,04/11/2022,,N,,
00012329,RODAMIENTO LM 603049/11 KOYO                      ,,04/11/2022,,N,,
00012331,"CANCAMO  TIPO  L  3""                              ",23/11/2022,28/11/2022,N,N,,
00012332,"CINTA REFLEC AMARILLA FLUOR 4""                    ",,,,,,
00012334,BICARBONATO  1 KG SURCO                           ,22/12/2022,22/12/2022,N,N,,
00012335,"PIEDRA ESMERIL  NORTON 8""                         ",,,,,,
00012336,LLAVE TORQUE 1/2  NORBAR  60-300NM                ,,,N,N,N,
00012337,GRASA BIO CHISEL PASTE 500 GR  (12)               ,,,N,,,
00012338,JUEGO INSERTOS 131 PZAS HELICOIL  REP HILOS       ,29/11/2022,28/11/2022,N,N,,
00012339,ODOMETRO RUEDA  INCO                              ,29/11/2022,05/12/2022,N,N,,
00012340,ESLINGA G8 QOSH4A 22MM-LARGO .4 5 M GORILA        ,,,,,,
00012341,"JUNTA CARDANICA FORCE  1""                         ",,,,,,
00012342,ARENA CUARZO BLANCO 02-06MM 25KGS                 ,26/11/2022,26/11/2022,N,N,,
00012344,DESINCRUSTADOR DE AGUJAS HIMOUNT H.D              ,,,,,,
00012345,ASPIRADORA   5HP 15 LTS W-4075 50883 RIDGID       ,17/01/2023,15/02/2023,N,N,,
00012347,CANDADO ODIS 470 70MM                             ,26/12/2022,26/12/2022,N,N,,
00012348,BOMBA  TRANV 12V   CAUDAL 14GPM C/MEDI  FILLRITE  ,,,,,,
00012349,BARRENADOR  100 MM  VERTEX                        ,,,,,,
00012350,TOMA BARRENADOR NT 40 VERTEX                      ,,,,,,
00012351,NEUMATICO 265/70/R17 SL369 AT 10PR                ,,,,,,
00012352,BALIZA AMARRILLA GIRATORIA 220 V EKOLINE          ,15/12/2022,15/12/2022,N,N,,
00012353,CABLE ACERO BRIDGE  NEGRO 8.X26 WS 15MM DIAM      ,29/12/2022,29/12/2022,N,N,,
00012354,CARRETE ALARGADOR RITTIG 4P  NEGR 40 MTS          ,,,,,,
00012355,GRILLETE LIRA PASADOR ROSCADO 5/8  GORILA         ,,,,,,
00012356,GRILLETE LIRA PASADOR ROSCADO  3/4  GORILA        ,,,,,,
00012357,"ESLINGA  RATCHET GDJ-GDJ 2"" LARGO 9M GORILA       ",,,,,,
00012358,ESLINGA  G8 QOSH 13MM LARG0 2MTS GORILA           ,,,,,,
00012359,DIGITAL INCLINOMETRO TILT BASE MAGNETICA          ,23/12/2022,23/12/2022,N,N,,
00012360,CABLE ACERO  GALV  6 7 FC  1/4                    ,,,,,,
00012361,PRENSA CROSBY  G 450  GALVANIZADA  3/8            ,,,,,,
00012362,CORDEL NYLON  5MM POR KILO                        ,,,,,,
00012363,GRILLETE LIRA  G 209  3/8                         ,,,,,,
00012364,TERMO BACKING COMPOUND 22 7 KGS 99695 T NE        ,,,,,,
00012365,BOMBA ACEITE 15 LTS  MANUAL                       ,,,,,,
00012366,ROLLO FILTRO POLIESTER G4  EN779  20mx1.5mx20mm   ,10/01/2023,10/01/2023,N,N,,
00012367,SIKAFLEX 256 NEGRO 300CC LIMPI                    ,06/01/2023,06/01/2023,N,N,,
00012368,PRENSA HIDRAULICA 50 T BIG RED                    ,,,,N,,
00012369,VISICOOLER 800 LTS LG-800S                        ,26/01/2023,26/01/2023,N,N,,
00012370,MINIBAR RETRO 47LTS NEGRO HS-65LN                 ,26/01/2023,26/01/2023,N,N,,
00012371,MINIBAR RETRO 93LTS NEGRO HS-121LN                ,26/01/2023,26/01/2023,N,N,,
00012372,ESPEJO INSPECCION TELESCOPICO 22 CM               ,01/02/2023,01/02/2023,N,N,,
00012375,SCANNER SEGURIDAD DETECTOR METALES PALETA         ,,,,,,
00012376,ELEVADOR 2 COLUMNAS  HTL 2040                     ,,,,,,
00012377,ELEVADOR 4 COLUMNAS  SCT-4150F ALIN  5000KGS      ,,,,,,
00012378,INSTALACION PUESTA  EN MARCHA                     ,,,,,,
00012382,AGOREX  PL 500  MONTAJE                           ,,,,,,
00012384,"LLAVE TORQUE MANDO HIDR DE  1"" 1/2  DE 11520 PIE  ",,,,,N,
00012385,LLAVE TORQUE MANDO 1! 3230 LBS PIE                ,,,,,,
00012386,EXTENSION CIRCULAR 15 MTS                         ,,,,,,
00012387,PLUMON OLEO ARTILE BLANCO METAL                   ,,,,,,
00012388,GRASERA MANUAL  CON EXTENSION FLEXIBLE            ,,,,,,
00012389,RADIO TRANSMISOR  MODELO PHILCO  (PAR)            ,,,,,,
00012390,RADIO MOTOROLA WALKIE TALKABOUT T 210             ,,,,,,
00012391,PALETA DETECTOR METAL PORTATIL  TERRASCAN ESH-10  ,30/01/2023,30/01/2023,N,N,,
00012394,PLANCHA ACERO A-36 4MM X 1  X 3MTS                ,,,,,,
00012395,PERFIL CANAL 200 X 50 X 5MM  X 6MTS               ,,,,,,
00012396,PERFIL CANAL 200 X 50 X 4MM  X 6MTS               ,,,,,,
00012397,MALLA  AHOSA 88 X  3MM  X  1  X 3MTS              ,,,,,,
00012398,LENTE OXIGINISTA C/PUENTE NASAL PLA               ,,,,,,
00012399,ESCALA PLEGABLE EKOLINE 0.9-3.5 MTS C/BASE        ,,,,,,
00012400,MORRAL PORTA HERRAMIENTAS  CUERO (BOLSO)          ,26/01/2023,27/01/2023,N,N,,
00012401,JUEGO COMPRESOR AIRE CON ACCE  5 PZAS             ,,,,,,
00012403,SET ACCESORIOS COMPRESOR 20 PZAS  PISTOL AIRE ÑI`P,,,,,,
00012404,MARCADOR NEUMATICO  CON MEDIDOR PRE VOYLET        ,,,,,,
00012405,LLAVE TORQUE 1/2  JONNESWAY                       ,,,,,,
00012406,JUEGO DADOS  1/4  P5PCS METR JONNESWAY            ,,,,,,
00012408,JUEGO LLAVES PTA CORONA CHICHAR ART  8-19MM J     ,,,,,,
00012409,IMAN MECANICO FLEXIBLE TRUPPER LED PROFESIONAL    ,08/02/2023,07/02/2023,N,N,,
00012410,LUB  SL101 AFLOJA TODO  SIEGER 300ML              ,,,,,,
00012411,QUICK ROST 450ML  9995 SEMFINENCO                 ,,,,,,
00012412,"PER HEX  A 325 T1  UNC 3/4 X 2""                   ",,,,,,
00012413,TUERCA HEX A-563 UNC DH  3/4                      ,,,,,,
00012414,GOL PLANA F-436 TN 3/4                            ,,,,,,
00012415,GOLILLA PRESION TN 3/4                            ,,,,,,
00012417,GOLILLA PLANA F436 3/4 GALV                       ,28/10/2022,13/01/2023,S,N,N,N
00012418,"GOLILLA PLANA F436 2""                             ",21/06/2018,15/03/2022,,N,N,N
00012421,DEXOXIDANTE ROST OF 20 LTS PLUS                   ,,,,N,N,
00012423,PULVERIZADOR PRESION IMPRESO SIN RELLENO          ,,,,,,
00012424,LUBRE ALL  20KG                                   ,,,,,,
00012425,FUMIGADOR  TRUPPER   2 LTS                        ,,,,,,
00012427,CRONOMETRO    STOP WATCH                          ,31/01/2023,31/01/2023,N,N,,
00012428,ESCALERA 3 PELDAÑOS  TOLSEN                       ,13/02/2023,08/02/2023,N,N,,
00012429,BROCA PIEDRA ART 117  8 0MM ALPEN                 ,,,,,,
00012430,BROCA PIEDRA ART 117 12. MM ALPEN                 ,,,,,,
00012431,BROCA PIEDRA ART 117  14.MM ALPEN                 ,,,,,,
00012432,SILICONA AGOREX PINTABLE  600 300GRS              ,,,,,,
00012433,BROCA COBALTO  HSS 8.0   ALPEN                    ,,,,,,
00012434,BROCA COBALTO  HSS 12.0 MM ALPEN                  ,,,,,,
00012435,BROCA  COBALTO HSS 14.00  ALPEN                   ,,,,,,
00012436,PER PARKER CAB PLA G 10.9 3/4 X 2 1/2             ,,,,,,
00012437,POLIETILENO AZUL 2X O 15                          ,,,,,,
00012439,MAQUINA ENZUNCHA SET TENSOR + SELL PARA ZUN PLAST ,,,,,,
00012440,"ODOMETRO C/FRENO TRUPPER 12""                      ",,,,,,
00012441,MANGA POLIETILENO AZUL 200CM X 200 MIC            ,,,,,,
00012442,BROCA CONCRETO LARGA 10MM                         ,,,,,,
00012443,BROCA CONCRETO LARGA  12MM                        ,,,,,,
00012444,BROCA CONCRETO LARGA 13 MM                        ,,,,,,
00012445,DISCO LIJA  5 VELCRO # 240 8 PERF                 ,,,N,N,N,N
00012446,DISCO LIJA 5 VELCRO # 80  8PERF                  ,,,,,,
00012447,DISCO LIJA 5 VELCRO # 180  8 perf                 ,,,,,,
00012448,DISCO LIJA  5 VELCRO # 100 8 PERF                 ,,,,,,
00012473,PASTECAS TIPO CANDADO SIMPLE 1000KG C/GANCHO GIRAT,30/12/2016,08/03/2018,,N,N,
00013356,VIGA ESTRUC PINO 2 X 8 X 4.88                     ,26/03/2015,07/03/2016,S,N,N,
00013362,VIGA ESTRUC PINO  2 X 6 X 4.88                    ,19/10/2015,13/11/2021,S,N,N,
00013495,MANO OBRA SSTT HOME & GARDEN                      ,23/01/2016,28/07/2020,,S,S,
00013692,VALV RECUP GASES MAZDA B603-13-890 PVC            ,06/02/2017,07/04/2017,,N,N,
00013728,KIT 3 VALVULAS ALTA Y BAJA HD 6/13C               ,26/11/2014,26/09/2013,,N,,
00013729,TAPON CIERRE HDS 450/501                          ,26/07/2016,08/11/2016,,N,N,
00013731,INTERRUPTOR BYPASS HD 6/13                        ,31/01/2013,25/02/2013,,N,,
00013737,ORING BYPASS HD-558/658                           ,,12/07/2018,,N,,
00013738,RETEN ALTA Y BAJA HD 6/13                         ,,22/05/2015,,N,,
00013739,MANO OBRA SSTT PROF TALLER                        ,,17/08/2022,,S,S,
00013741,RETEN ACEITE HDS-450                              ,,09/01/2013,,N,,
00013742,ANILLO GUARNICION HD 6/12                         ,,,,,,
00013744,EQ.F ALTAEFIC S/P 2 X 36WEKOLINE                  ,14/05/2016,02/01/2012,,N,,
00013745,403578 LEX3 INT 1X                                ,18/05/2016,20/12/2012,,N,,
00013789,FOCO TRIPODE SIMPLE EKOLINE HALOGENO              ,,,,,,
00013794,ORING 10MM 1800                                   ,06/09/2018,12/09/2018,,N,,
00013797,"TAPA RUEDA 14"" WJ-5058-B-14                       ",24/01/2019,11/02/2019,,N,N,
00013824,RECARGA DE ACETILENO                              ,26/12/2014,27/05/2016,,N,,
00014330,NEU 215 65 R115 TRIANGLE TR928                    ,23/12/2016,23/12/2016,S,S,N,
00014431,NO USAR                                           ,,16/03/2013,,N,,
00014438,NIO                                               ,,30/01/2013,,N,N,
00014958,AMPOLLETA 24V 21/5W 2C BAY15D 247 P/D G/G         ,30/06/2017,27/02/2020,,N,S,
00014959,PLUMILLA UNIVERSAL 24 CURVA GRAFITADA             ,16/06/2016,20/07/2017,,N,N,
00015060,"VALVULA RETENCION BR VERTICAL DIS/ BR NPT 1""      ",14/06/2016,04/03/2021,,N,N,
00015960,URINARIO CAMPUS                                   ,,,,N,,
00016330,SILENCIADOR UNIV CORTO L/L                        ,25/06/2019,08/07/2019,,N,,
00016400,PERNO HEX MM 20x60 P-2                            ,10/03/2016,27/12/2017,,N,N,
00016721,SILENCIADOR UNIV ELIPTICO L/C                     ,25/06/2019,27/09/2019,,N,N,
00017899,BOYA PLASTICA 110MM                               ,12/08/2016,11/12/2012,,N,,
00018138,DESODORANTE AMBIENTAL AROMA CAFE                  ,23/10/2021,20/04/2015,S,N,,
00018139,DESODORANTE AROMA LIMON                           ,04/07/2012,05/11/2014,,N,,
00018230,TORNILLO AUTOP P.AGUDA CAB TRUSS C/GOL ZN 10X3    ,,21/08/2019,,N,N,
00018272,GANCHO METALICO 20CM C/PRECIO                     ,11/05/2017,,,N,,
00018467,JUEGO LLAVE ALLEN 1/16 - 1/4 7PCS 5076S           ,07/06/2021,17/05/2022,S,S,,N
00018528,ABRAZADERA MIKALOR 79/85MM UAR 11920              ,08/03/2017,06/09/2018,,N,N,
00018614,PARACHOQUE DEL HAFEI                              ,30/12/2016,19/03/2013,,N,,
00019068,LLAVE SACA FILTRO W7 MANN                         ,13/12/2019,14/09/2020,,N,N,
00019265,CARBON HRTA METABO 6X16X19.3MM ESMERIL/PULIDORA   ,02/05/2018,19/05/2022,,N,,
00019267,CARBON HRTA BLACK/DECKER DE WALT 6.3X12.4X24MMM   ,02/05/2018,27/01/2020,,N,,
00019270,CARBON HRTA 6.3X10X18.5MM DE WALT SIERRA MARMOL   ,04/03/2020,24/02/2022,,N,,
