Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
00005346,Letras y numeros,HD 867,,,,,,
00005347,Letras y numeros,HD 868,,,,,,
00005348,Letras y numeros,HD 868/1,,,,,,
00005349,Letras y numeros,HD 904,,,,,,
00005350,Letras y numeros,HD 904/10,,,,,,
00005351,Letras y numeros,HD 908,,,,,,
00005352,Letras y numeros,HD 914,,,,,,
00005353,Letras y numeros,HD 916,,,,,,
00005354,Letras y numeros,HD 921,,,,,,
00005355,Letras y numeros,HD 925,,,,,,
00005356,Letras y numeros,HD 931,,,,,,
00005357,Letras y numeros,HD 932,,,,,,
00005358,Letras y numeros,HD 938x,,,,,,
00005359,Letras y numeros,HD 939,,,,,,
00005360,Letras y numeros,HD 954x,,,,,,
00005361,Letras y numeros,HD 960,,,,,,
00005362,Letras y numeros,HD 976,,,,,,
00005363,Letras y numeros,HD 1012,,,N,,,
00005364,Letras y numeros,HD 1012/1,,,,,,
00005365,Letras y numeros,HD 1019,,,,,,
00005366,Letras y numeros,HD 1020,,,,,,
00005367,Letras y numeros,HD 1021,,,,,,
00005368,Letras y numeros,HD 1022,,,,,,
00005369,Letras y numeros,HD 1029x,,,,,,
00005370,Letras y numeros,HD 1030,,,,,,
00005371,Letras y numeros,HD 1031,,,,,,
00005372,Letras y numeros,HD 1031/1,,,,,,
00005373,Letras y numeros,HD 1032,,,,,,04/01/2010
00005374,Letras y numeros,HD 1033,,,,,,
00005375,Letras y numeros,HD 1034,,,,,,
00005376,Letras y numeros,HD 1039,,,,,,
00005377,Letras y numeros,HD 1040,,,N,,,04/01/2022
00005378,Letras y numeros,HD 1042,,,,,,
00005379,Letras y numeros,HD 1052,,,,,,
00005380,Letras y numeros,HD 1053,,,,,,
00005381,Letras y numeros,HD 1064,,,,,,
00005382,Letras y numeros,HD 1087,,,,,,
00005383,Letras y numeros,HD 1110,,,,,,
00005384,Letras y numeros,HD 1119,,,,,,
00005385,Letras y numeros,HD 1121,,,,,,
00005386,Letras y numeros,HD 1144,,,,,,
00005387,Letras y numeros,HD 1150,,,,,,
00005388,Letras y numeros,HD 1163,,,,,,
00005389,Letras y numeros,HD 1168,,,,,,
00005390,Letras y numeros,HD 1187,,,,,,
00005391,Letras y numeros,HD 1197,,,,,,
00005392,Letras y numeros,HD 1208,,,,,,
00005393,Letras y numeros,HD 1212,,,,,,
00005394,Letras y numeros,HD 1243,,,,,,
00005395,Letras y numeros,HD 1251,,,N,,,03/03/2014
00005396,Letras y numeros,HD 1267,,,,,,
00005397,Letras y numeros,HD 1310,,,,,,
00005398,Letras y numeros,HD 1313,,,,,,
00005399,Letras y numeros,HD 1322,,,,,,
00005400,Letras y numeros,HD 1327,,,,,,
00005401,Letras y numeros,HD 1348,,,,,,
00005402,Letras y numeros,HD 1352,,,,,,
00005403,Letras y numeros,HD 1386,,,,,,
00005404,Letras y numeros,HD 1436,,,,,,
00005405,Letras y numeros,HD 1455,,,,,,
00005406,Letras y numeros,HD 1457,,,,,,
00005407,Letras y numeros,HD 1497,,,,,,
00005408,Letras y numeros,HD 1497/1,,,,,,
00005409,Letras y numeros,HD 1510,,,,,,
00005410,Letras y numeros,HD 1525,,,,,,
00005411,Letras y numeros,HD 1602,,,,,,
00005412,Letras y numeros,HD 2719,,,,,,
00005413,Letras y numeros,HD 11115,,,,,,
00005414,Letras y numeros,HD 13122,,,,,,
00005415,Letras y numeros,HD 14101,,,,,,
00005416,Letras y numeros,HD 14127,,,,,,
00005417,Letras y numeros,HD 15114,,,,,,
00005418,Letras y numeros,HD 15122,,,,,,
00005419,Letras y numeros,HD 15135,,N,,,,
00005420,Letras y numeros,HD 15422,,,,,,
00005421,Letras y numeros,HD 17311,,,,,,
00005422,Letras y numeros,HD 20147,,,,,,
00005454,Letras y numeros,HU 925/4,,,N,,06/12/2014,
00005456,Letras y numeros,HU 934/1x,,,,,,
00005457,Letras y numeros,HU 938/4x,,,,,,
00005461,Letras y numeros,P 21,,,,,,
00005462,Letras y numeros,P 22,,,,,,
00005463,Letras y numeros,P 31,,,,,,
00005464,Letras y numeros,P 31/10,,,,,,
00005465,Letras y numeros,P 32,,,,,,
00005467,Letras y numeros,P 34,,,,,,
00005468,Letras y numeros,P 35,,,,,,
00005469,Letras y numeros,P 41,,,,,,
00005470,Letras y numeros,P 41/1,,N,,,,16/02/2021
00005471,Letras y numeros,P 42/1,,,,,,
00005472,Letras y numeros,P 43,,,,,,
00005473,Letras y numeros,P 43/10,,,,,,
00005474,Letras y numeros,P 43/5,,S,,,,
00005475,Letras y numeros,P 44,,,,,,
00005476,Letras y numeros,P 44/10,,,,,,
00005477,Letras y numeros,P 45,,,,,,
00005479,Letras y numeros,P 46/1,,,,,,
00005480,Letras y numeros,P 47,,,,,,
00005481,Letras y numeros,P 48,,,,,,
00005482,Letras y numeros,P 49,,,,,,
00005483,Letras y numeros,P 49/1,,,,,,
00005484,Letras y numeros,P 52,,,N,,,21/11/2013
00005485,Letras y numeros,P 54,,,,,,
00005486,Letras y numeros,P 54/10,,,,,,
00005487,Letras y numeros,P 55,,,,,,
00005488,Letras y numeros,P 55/10,,,,,,
00005489,Letras y numeros,P 56,,,,,,
00005490,Letras y numeros,P 57/10,,,,,,
00005491,Letras y numeros,P 67/10x,,,,,,
00005492,Letras y numeros,P 67x,,,,,,
00005493,Letras y numeros,P 68,,,,,,
00005494,Letras y numeros,P 85,,,,,,
00005495,Letras y numeros,P 89/10,,,,,,
00005496,Letras y numeros,P 512,,,N,,,29/11/2014
00005497,Letras y numeros,P 606,,,,,,
00005498,Letras y numeros,P 608,,,N,,,28/09/2017
00005499,Letras y numeros,P 609,,,,,,
00005500,Letras y numeros,P 610x,,,,,,
00005503,Letras y numeros,P 708x,,,,,,
00005504,Letras y numeros,P 711/11,,,N,,29/03/2012,
00005506,Letras y numeros,P 712/5,,,,,,
00005507,Letras y numeros,P 712x,,,,,,
00005508,Letras y numeros,P 713,,,,,,
00005513,Letras y numeros,P 717x,,,,,,
00005514,Letras y numeros,P 718,,,,,,
00005515,Letras y numeros,P 718/1x,,,N,S,18/11/2011,
00005517,Letras y numeros,P 722,,N,N,,,04/05/2017
00005518,Letras y numeros,P 723,,,N,,,18/02/2014
00005519,Letras y numeros,P 724x,,,,,,
00005520,Letras y numeros,P 726x,,,N,,,15/10/2013
00005521,Letras y numeros,P 730x,,,N,,,12/07/2013
00005523,Letras y numeros,P 746,,,,,,
00005524,Letras y numeros,P 803,,,,,,
00005527,Letras y numeros,P 810/3x,,,N,,,26/05/2017
00005530,Letras y numeros,P 815n,,,,,,
00005531,Letras y numeros,P 816,,,,,,
00005533,Letras y numeros,P 818/5,,,,,,
00005534,Letras y numeros,P 819,,,,,,
00005535,Letras y numeros,P 822x,N,,,,,12/02/2019
00005536,Letras y numeros,P 823/10,,,,,,
00005537,Letras y numeros,P 824/10,,,N,,,26/05/2014
00005539,Letras y numeros,P 825/1v,,,,,,
00005540,Letras y numeros,P 825/5x,,,,,,
00005541,Letras y numeros,P 825n,,,,,,
00005542,Letras y numeros,P 825t,,,,,,
00005543,Letras y numeros,P 826/10,,,,,,
00005544,Letras y numeros,P 915n,,,,,,
00005546,Letras y numeros,P 916/6x,,,N,,,19/03/2018
00005547,Letras y numeros,P 916/7x,,,,,,
00005548,Letras y numeros,P 917/20x,,,N,,,06/10/2017
00005551,Letras y numeros,P 921/2x,,,,,,
00005552,Letras y numeros,P 923/1x,,,,,,
00005553,Letras y numeros,P 926,,,,,,
00005554,Letras y numeros,P 932x,,,,,,
00005555,Letras y numeros,P 934,,,,,,
00005556,Letras y numeros,P 935,,,,,,
00005557,Letras y numeros,P 936x,,,,,,
00005558,Letras y numeros,P 937x,,,,,,
00005559,Letras y numeros,P 938x,,N,,,,27/08/2014
00005560,Letras y numeros,P 939/1x,,,,,,
00005562,Letras y numeros,P 940x,,,,,,
00005564,Letras y numeros,P 947,,,,,,
00005565,Letras y numeros,P 948/1,,,,,,
00005567,Letras y numeros,P 950/10x,,N,,,,
00005568,Letras y numeros,P 950x,,,,,,
00005569,Letras y numeros,P 1012x,,,,S,,
00005570,Letras y numeros,P 1015f,,,,,,
00005571,Letras y numeros,P 1015n,,,,,,
00005572,Letras y numeros,P 1015x,,,,,,
00005573,Letras y numeros,P 1018/1,,,,,,
00005574,Letras y numeros,P 1025/1x,,,N,,,24/08/2021
00005575,Letras y numeros,P 1025f,,,N,,,09/04/2013
00005576,Letras y numeros,P 1025n,,,,,,
00005578,Letras y numeros,P 1036,,,,,,
00005579,Letras y numeros,P 1044,,,,,,
00005580,Letras y numeros,P 1075,,,,,,
00005581,Letras y numeros,P 1113,,,,,,
00005582,Letras y numeros,P 1130,,,,,,
00005585,Letras y numeros,P 1149,,,,,,
00005586,Letras y numeros,P 1163,,,,,,
00005587,Letras y numeros,P 1165,,,,,,
00005588,Letras y numeros,P 1167,,,,,,
00005591,Letras y numeros,P 1193x,,,N,,,03/03/2018
00005592,Letras y numeros,P 1198,,,,,,
00005593,Letras y numeros,P 1271n,,,,,,
00005594,Letras y numeros,P 1271x,,,,,,
00005595,Letras y numeros,P 1279,,,,S,,
00005596,Letras y numeros,P 1478,,,,,,
00005597,Letras y numeros,P 1478/10,,,,,,
00005598,Letras y numeros,P 1511,,,,,,
00005599,Letras y numeros,P 1517,,,,,,
00005600,Letras y numeros,P 1535/1,,,,,,
00005601,Letras y numeros,P 1535n,,,,,,
00005602,Letras y numeros,P 1545,,,,,,
00005603,Letras y numeros,P 1548,,,,,,
00005604,Letras y numeros,P 1558,,,,,,
00005605,Letras y numeros,P 1564,,,,,,
00005606,Letras y numeros,P 1587,,,,,,
00005607,Letras y numeros,P 11102x,,,,,,
00005608,Letras y numeros,P 10113,,,,,,
00005609,Letras y numeros,P 10120,,,,,,
00005610,Letras y numeros,P 13132,,,,,,
00005611,Letras y numeros,P 14149,,,,,,
00005612,Letras y numeros,P 15140,,,,,,
00005613,Letras y numeros,P 15150x,,,,,,
00005614,Letras y numeros,P 15222,,,,,,
00005615,Letras y numeros,P 15323,,,,,,
00005616,Letras y numeros,P 17427,,,,,,
00005617,Letras y numeros,P 19203,,,,,,
00005618,Letras y numeros,P 22577,,,,,,
00005619,Letras y numeros,PF 815k,,,,,,
00005620,Letras y numeros,PF 915n,,,,,,
00005621,Letras y numeros,PF 925,,,,,,
00005622,Letras y numeros,PF 1025,,,N,,,
00005623,Letras y numeros,PF 1025f,,,,,,
00005624,Letras y numeros,PF 1025n,,,,,,
00005625,Letras y numeros,PF 1025X,,,N,,,07/02/2017
00005626,Letras y numeros,PF 1025t,,,N,,,29/08/2013
00005627,Letras y numeros,PF 1040x,,,N,,,
00005630,Letras y numeros,PF 1140,,,,,,
00005631,Letras y numeros,PF 1155x,,,N,,,06/04/2022
00005633,Letras y numeros,PF 1280,,,,,,
00005634,Letras y numeros,PF 1552,,,N,,,29/11/2013
00005635,Letras y numeros,PF 16190,,,,,,
00005636,Letras y numeros,PF 16200x,,,,,,
00005637,Letras y numeros,PF 16500x,,N,,,,16/09/2021
00005638,Letras y numeros,PF 19226x,,,,,,
00005639,Letras y numeros,PF 19326x,,,,,,
00005648,Letras y numeros,W 67/10,,,N,S,,05/12/2016
00005654,Letras y numeros,W 77/10,,,N,S,,10/06/2016
00005676,Letras y numeros,W 713/50,,,,S,,
00005678,Letras y numeros,W 719,,S,N,S,,11/11/2019
00005692,Letras y numeros,W 818/12,,,N,S,18/05/2020,
00005701,Letras y numeros,W 914/12,,,,S,,
00005712,Letras y numeros,W 920/30,,,N,S,,24/11/2021
00005715,Letras y numeros,W 920/45,,,,S,,
00005717,Letras y numeros,W 920/66,,S,N,S,,01/09/2022
00005723,Letras y numeros,W 927,,,N,S,,17/05/2021
00005728,Letras y numeros,W 930/13,,,,S,,
00005730,Letras y numeros,W 930/30,,,,S,,
00005731,Letras y numeros,W 930/50,,,,S,,
00005759,Letras y numeros,W 950/31,,,,S,,
00005765,Letras y numeros,W 962/9,,,,S,,
00005768,Letras y numeros,W 962/15,,,,S,,
00005769,Letras y numeros,W 962/52,,,,S,,
00005770,Letras y numeros,W 712/7,,,N,S,,12/12/2014
00005772,Letras y numeros,W 1021/10,,,,S,,
00005773,Letras y numeros,W 1021/20,,,,S,,
00005774,Letras y numeros,W 1021/30,S,,N,S,,19/08/2019
00005779,Letras y numeros,W 1122/1,,,N,S,,27/02/2014
00005781,Letras y numeros,W 1126/5,,,,S,,
00005789,Letras y numeros,W 1144,,,N,S,,13/10/2017
00005791,Letras y numeros,W 1158,,,,S,,
00005797,Letras y numeros,W 1168/20,,S,N,S,25/02/2016,
00005800,Letras y numeros,W 1170/10,,,,S,,
00005801,Letras y numeros,W 1172,,,,S,,
00005806,Letras y numeros,W 1275,,,N,S,,23/03/2018
00005808,Letras y numeros,W 1290,,,,S,,
00005809,Letras y numeros,W 1290/1,,,N,S,,
00005812,Letras y numeros,W 1355,,,,S,,
00005814,Letras y numeros,W 1359/1,,,,S,,
00005815,Letras y numeros,W 1361,,,N,S,,04/09/2012
00005817,Letras y numeros,W 1396,,,,S,,
00005823,Letras y numeros,W 11102/9,,,N,S,,09/05/2017
00005836,Letras y numeros,WA 940/2,,,N,,,
00005837,Letras y numeros,WA 940/10,,,N,,,
00005838,Letras y numeros,WA 956,,,N,,,03/02/2016
00005839,Letras y numeros,WA 1113,,,N,,,
00005840,Letras y numeros,WA 1122,,,N,,,
00005841,Letras y numeros,WA 1162,,,N,,,
00005843,Letras y numeros,WD 925,,,N,,,
00005844,Letras y numeros,WD 920,,,N,,,07/02/2023
00005847,Letras y numeros,WD 950/2,,,N,,,
00005848,Letras y numeros,WD 950/3,,,N,,,12/12/2014
00005850,Letras y numeros,WD 962/30,,,N,,18/01/2010,
00005851,Letras y numeros,WD 962/40,,,N,,,
00005852,Letras y numeros,WD 1171,,,N,,,
00005853,Letras y numeros,WD 13145,,N,N,,,17/06/2017
00005854,Letras y numeros,WD 13145/10,,,N,,,
00005855,Letras y numeros,WK 7,,,,S,,
00005856,Letras y numeros,WK 10,,,,S,,
00005865,Letras y numeros,WK 29/33,,N,N,S,,05/02/2019
00005869,Letras y numeros,WK 29/57,,,,S,,
00005875,Letras y numeros,WK 43/8,,,,S,,
00005886,Letras y numeros,WK 76/5,,N,N,S,,08/02/2019
00005917,Letras y numeros,WK 614/4,,,N,S,,16/09/2014
00005938,Letras y numeros,WK 714/20,,,,S,,
00005947,Letras y numeros,WK 756,,,N,S,,09/03/2012
00005951,Letras y numeros,WK 800/2,,,,S,,
00005962,Letras y numeros,WK 842/1,,N,N,S,,30/06/2015
00005967,Letras y numeros,WK 845,,,,S,,
00005969,Letras y numeros,WK 853,,,N,S,,22/03/2013
00005977,Letras y numeros,WK 917/3,,,,S,,
00005982,Letras y numeros,WK 925,,,N,S,23/03/2013,
00005983,Letras y numeros,WK 925/1,,,,S,,
00005994,Letras y numeros,WK 940/33,,,,S,,
00005998,Letras y numeros,WK 945,,,,S,,
00006003,Letras y numeros,WK 950/30,,,N,S,,20/12/2017
00006026,Letras y numeros,WK 1166,,,,S,,
00006028,Letras y numeros,WK 1284,,,,S,,
00006037,Letras y numeros,WP 929,,,N,,,
00006038,Letras y numeros,WP 930,,,N,,,
00006040,Letras y numeros,WP 940,,,N,,,19/10/2011
00006048,Letras y numeros,WP 1156,,,N,S,,09/04/2022
00006051,Letras y numeros,WP 1284,,,N,,,
00006152,Letras y numeros,C 2510/1,,,N,,23/07/2019,
00006229,Descripcion erronea,CORTINA BA�O TROPICAL 178 X 180 CM JUST HOME      ,,,,,,
00006262,Descripcion erronea,"CA�ERIA COBRE L GAS-AGUA 1 1/4"" X 6 M             ",,,,,,
00006285,Descripcion erronea,PLATACHO ALBA�IL  115X 250 X 20  ESTAMPA          ,,,,,,
00006373,Descripcion erronea,TERMINAL CU ESTA�O 4/0 AWG EKOLINE                ,,,,,,
00006374,Descripcion erronea,TERMINAL CU ESTA�O 3/0 AWG EKOLINE                ,,,,,,
00006491,Descripcion erronea,SERV EMBR. CAMION FORD CARGO 3133- A�O 2016       ,,,N,S,08/10/2021,08/10/2021
00006502,Descripcion erronea,DESTAPA CA�ERIA 1 LT  KLEINE WOLKE                ,,,,,,
00006624,Descripcion erronea,ACU�ADOR OCTOG. 4.30 MTS DUROALUM.C/PROTECTOR     ,,,,,,
00006690,Descripcion erronea,SILICONA PARA BA�O Y COCINA 300ML HENKEL  43972X  ,,,,,,
00006701,Descripcion erronea,CODO 45� PE100 90MM SDR 17                        ,,,,,,
00006702,Descripcion erronea,CODO 90� PE100 90 MM SDR 17                       ,,,,,,
00006782,Descripcion erronea,LLAVE IMPACTO 1�� ESP 8��  HIMOUNT (PT812-8)      ,,,N,S,23/12/2021,23/12/2021
00006788,Descripcion erronea,"LLAVE CADENA 6"" P/ CA�ERIA SMART  6107032         ",,,,,,
00006956,Descripcion erronea,"LLAVE CADENA 4"" P/ CA�ERIA SMART 6107030          ",,,N,S,24/12/2021,24/12/2021
00007006,Descripcion erronea,NIPLE 8-8 FFORX 45�                               ,,,,,,
00007007,Descripcion erronea,NIPLE 16 - 16 FFORX 45� - A                       ,,,,,,
00007200,Descripcion erronea,CA�ERIA COBRE L AGUA Y GAS 1/2 X 1 MT             ,,,N,S,29/01/2022,28/01/2022
00007201,Descripcion erronea,SALA DE BA�O CELTIC                               ,,,N,S,15/02/2022,15/02/2022
00007305,Descripcion erronea,CURVA 90� EMT 20MM EKOLINE                        ,,,,,,
00007311,Descripcion erronea,BA�O MARIA ELECTRICO  6EA90  04 DEP LON 20LTS     ,,,N,S,02/03/2022,02/03/2022
00007395,Descripcion erronea,C 24040 W�RTEX                                    ,,N,,,26/02/2022,12/10/2022
00007396,Descripcion erronea,C 1473 W�RTEX                                     ,,N,,,26/02/2022,22/09/2022
00007468,Descripcion erronea,TUERCA HEX 1�� INOX  304                          ,,,N,S,11/03/2022,12/03/2022
00007499,Descripcion erronea,C 3121 FILTRO AIRE MAZDA 3 04/09  W�RTEX          ,,N,,,08/03/2022,15/03/2022
00007527,Descripcion erronea,SET PUNTAS ADAP 28PZA MAKITA}                     ,S,N,N,S,21/03/2022,04/02/2023
00007556,Descripcion erronea,C 2540 FILTRO AIRE NISS QASHQAI 2000  W�RTEX      ,,N,,,17/03/2022,02/05/2022
00007575,Descripcion erronea,MAUSE PAD WRIST PILLOW                            ,,,N,S,21/03/2022,
00007605,Descripcion erronea,SALA DE BA�O 4PZ ECOLINE (34225189 FANALOZA)      ,,,N,S,04/04/2022,04/04/2022
00008011,Descripcion erronea,"CURVA 45� A-234 SCH 40  1 1/2""                    ",,,,,,
00008012,Descripcion erronea,"CURVA 90� A- 234 SCH 40  1 1/2""                   ",,,,,,
00008059,Descripcion erronea,PULIDORA ORBITAL 5�� DPO500Z  18V MAKITA          ,,,,,,
00011449,Descripcion erronea,CODO PVC 45� 200 M/M ASTRAL                       ,,,,,,
00011451,Letras y numeros,PU 7004z,,,N,,16/04/2019,
00011472,Descripcion erronea,CORDEL 10 MM ALGOD�N (ROLLO 500 MTS)              ,,,,,,
00011586,Descripcion erronea,CU�AS PU 20 TON-30 TON CERTIFICADA   1001         ,N,,N,S,28/10/2022,05/01/2023
00011594,Descripcion erronea,PORTA CU�A PLASTICO 20 T A 45 TON  1023           ,,,,,,
00011712,Descripcion erronea,GRASERA SEMI CURVA 45� 3/8 SAE 100 UN             ,,,,,,
00011738,Descripcion erronea,LINTERNA RECARG STEEELPRO SENSOR .X               ,,,,,,
00011928,Descripcion erronea,FLUJOMERO DIGITAL 1�� NPT FILL RITE TT10AN        ,,,,,,
00011961,Descripcion erronea,SET OLLAS 10 PZAS COLOR BORGO�A BERLINGER         ,,,,,,
00011965,Descripcion erronea,SET GANCHOS CORTINA BA�O 12 UN PLATEADO           ,,,,,,
00011976,Descripcion erronea,BRUJULA BRUNTON 5020 360� METALICA C/ESTUCHE      ,,,,,,
00012012,Descripcion erronea,ACU�ADOR OCTOG.DURO ALUM.C/ PROTECTOR 1.5 MTS     ,,,,,,
00012013,Descripcion erronea,ACU�ADOR OCTOG. 3.0MTS DURO ALUM.C/PROTECTOR      ,,N,N,S,,
00012073,Descripcion erronea,KIT LIMPIEZA  3 PZAS PA�O  BROCHA  MICROFIBRA     ,,,,,,
00012099,Descripcion erronea,TIRA CA�ERIA AC INOX 316 SCH 40 1!  (6MTS)        ,,,,,,
00012209,Descripcion erronea,RESISTENCIA BA�O MARIA   220V12KW                 ,,,N,N,26/07/2022,03/08/2022
00012403,Descripcion erronea,SET ACCESORIOS COMPRESOR 20 PZAS  PISTOL AIRE �I`P,,,,,,
00012428,Descripcion erronea,ESCALERA 3 PELDA�OS  TOLSEN                       ,,,,,,
00013755,Letras y numeros,C 3307/1,,,N,,23/03/2020,
00014431,Letras y numeros,NO USAR,,,N,,,16/03/2013
00014842,Descripcion erronea,BOTIN SEG ROCKYP28 PLANT ACER N� 44               ,,,N,S,04/11/2016,
00015132,Descripcion erronea,CA�ERIA ASTM GALV SCH40 1/2 HILO                  ,,,N,,12/04/2016,14/02/2013
00015201,Descripcion erronea,BOMBA ACEITE MIT L200 2.5 99/06 K74T C/PI�        ,,,N,,29/07/2020,13/08/2020
00016042,Descripcion erronea,BUJIA INC PN-130 24V 23� NISSAN ED33              ,,,N,,31/08/2021,27/01/2023
00016991,Descripcion erronea,POLEA CIGUE�AL SIMPLE HY EXCEL                    ,,N,N,,20/05/2019,22/05/2019
00017265,Descripcion erronea,TELECOMANDO LUCES Y SE�ALIZ HY ACCENT 01/04       ,,,N,,17/05/2019,18/03/2021
00017303,Descripcion erronea,C 1761  W�RTEX                                    ,,N,N,,23/11/2021,04/01/2023
00018000,Descripcion erronea,METAL BIELA RENAULT L�AGUNA                       ,,N,N,,08/02/2017,17/11/2022
00018022,Descripcion erronea,SENSOR POSICION CIGUE�AL HY ELANTRA 06/10         ,,N,N,,25/10/2017,22/10/2021
00018105,Descripcion erronea,CIGUE�AL SUZUKI SWIFT                             ,,,N,,05/02/2014,07/02/2014
00018284,Letras y numeros,PU 7004Z,,,,,,
00018381,Descripcion erronea,GRATA CIRCULAR TREN 4.1/2X? FAESIN 32101          ,,,S,,05/05/2017,16/08/2019
00019207,Descripcion erronea,FAROL DEL PARACH RH NISS 720 82/92                ,,N,,,10/08/2015,16/11/2016
00019293,Descripcion erronea,GUIA PARACH DEL LH TOY YARIS SPORT 06/11          ,,,N,,17/06/2022,18/06/2022
00019391,Descripcion erronea,FAROL DEL PARACH LH NISS 720 82/92                ,,N,N,S,20/10/2022,03/11/2022
00019632,Descripcion erronea,TERMOSTATO 82� DAEWOO                             ,,N,N,,21/07/2021,16/03/2022
00020302,Letras y numeros,HU 7012Z,,N,N,,02/08/2021,
00020341,Descripcion erronea,TERMOSTATO 88� KIA FRONTIER 2.5 D4CB              ,,,N,,15/05/2019,05/10/2022
00020408,Descripcion erronea,METAL BANC 0.25 HYUN ELANTRA }MITS L200 JP                                                          ,,,,,,
00020439,Descripcion erronea,METAL BANC 0.5 TOY 3E 5E 5EF } PASEO                                                                ,,,,,,
00020495,Descripcion erronea,METAL BANC 0.75 NISS SD22 5 PU�OS                 ,,,,,,
00021098,Descripcion erronea,TENSOR COMPENS CIGUE�AL MIT L200 96/06            ,,,N,,14/11/2020,09/08/2021
00022917,Descripcion erronea,RESORTE N�82                                      ,,,N,,,07/12/2011
00022918,Descripcion erronea,RESORTE N�83                                      ,,,,,,
00022919,Descripcion erronea,RESORTE ACELER O-02 N�97                          ,,,,,,
00022920,Descripcion erronea,RESORTE FRENO A-2 N�124                           ,,,N,,13/02/2014,05/10/2022
00022923,Descripcion erronea,RESORTE ACELER 104 N�129                          ,,,N,,,01/10/2022
00022928,Descripcion erronea,RESORTE ACELER 132-LH N�101                       ,,,N,,,25/01/2023
00022932,Descripcion erronea,RESORTE ACELER 214 N�96                           ,,,N,,,10/09/2022
00022933,Descripcion erronea,RESORTE ACELER 24-RH N�103                        ,,,N,,,25/05/2018
00022938,Descripcion erronea,RESORTE ACELER 600 N�157                          ,,,N,,,15/06/2018
00022939,Descripcion erronea,RESORTE ACELER 601 N�128                          ,,,N,,,25/03/2019
00022941,Descripcion erronea,RESORTE ACELER 720-75 N�187                       ,,,N,,,07/07/2020
00022942,Descripcion erronea,RESORTE ACELER 720-76 N�190                       ,,,N,,,13/02/2019
00022943,Descripcion erronea,RESORTE ACELER 720-77 N�99                        ,,,N,,,10/08/2022
00022944,Descripcion erronea,RESORTE ACELER 723-37 N�98                        ,,,N,,,16/11/2019
00022945,Descripcion erronea,RESORTE ACELER 724 N�192                          ,,,N,,,13/07/2021
00022947,Descripcion erronea,RESORTE ACELER 724-31 N�202                       ,,,N,,,12/12/2014
00022948,Descripcion erronea,RESORTE ACELER 728 N�94                           ,N,,N,,,29/12/2021
00022951,Descripcion erronea,RESORTE ACELER A-1 N�122                          ,,,N,,,03/12/2021
00022952,Descripcion erronea,RESORTE N�113                                     ,,,N,,,17/05/2022
00022953,Descripcion erronea,RESORTE ACELER A-3 N�123                          ,,,N,,,06/02/2017
00022954,Descripcion erronea,RESORTE ACELER AM-1 N�160                         ,,,N,,,27/07/2019
00022955,Descripcion erronea,RESORTE ACELER AM-2 N�118                         ,,,N,,,20/11/2015
00022956,Descripcion erronea,RESORTE ACELER AM-3 N�125                         ,,,N,,,04/01/2023
00022957,Descripcion erronea,RESORTE ACELER C-10 N�107                         ,,,N,,,26/07/2013
00022958,Descripcion erronea,RESORTE ACELER C-07 N�106                         ,,,N,,,21/12/2021
00022959,Descripcion erronea,RESORTE ACELER H-02 N�16                          ,,,N,,16/04/2013,08/10/2022
00022960,Descripcion erronea,RESORTE ACELER H-03 N�17                          ,,,N,,,01/10/2019
00022961,Descripcion erronea,RESORTE ACELER H-06 N�20                          ,,,N,,,06/05/2021
00022962,Descripcion erronea,RESORTE N�22                                      ,,,N,,,11/11/2021
00022963,Descripcion erronea,RESORTE ACELER H-01 N�15                          ,,,N,,16/04/2013,15/09/2022
00022964,Descripcion erronea,RESORTE ACELER H-10 N�24                          ,,,N,,,08/07/2022
00022965,Descripcion erronea,RESORTE ACELER H-11 N�25                          ,,,N,,16/04/2013,11/11/2021
00022966,Descripcion erronea,RESORTE ACELER H-12 N�26                          ,,,N,,16/04/2013,04/04/2022
00022967,Descripcion erronea,RESORTE ACELER H-13 N�27                          ,,,N,,16/04/2013,24/05/2017
00022969,Descripcion erronea,RESORTE ACELER H-05 N�19                          ,,,N,,16/04/2013,10/01/2019
00022970,Descripcion erronea,RESORTE ACELER H-09 N�23                          ,,,N,,16/04/2013,21/12/2021
00022971,Descripcion erronea,RESORTE ACELER P-08 N�35                          ,,,N,,,05/12/2018
00022972,Descripcion erronea,RESORTE ACELER P-01 N�28                          ,,,N,,16/04/2013,28/12/2022
00022973,Descripcion erronea,RESORTE ACELER P-10 N�37                          ,,,N,,,12/06/2020
00022974,Descripcion erronea,RESORTE ACELER P-11 N�38                          ,,,N,,16/04/2013,23/03/2022
00022975,Descripcion erronea,RESORTE ACELER P-12 N�39                          ,,,N,,,01/02/2016
00022976,Descripcion erronea,RESORTE ACELER P-13 N�40                          ,,,N,,16/04/2013,01/04/2016
00022977,Descripcion erronea,RESORTE ACELER P-02 N�29                          ,,,N,,,22/05/2019
00022979,Descripcion erronea,RESORTE ACELER P-04 N�31                          ,N,,N,,,02/03/2022
00022980,Descripcion erronea,RESORTE ACELER P-05 N�32                          ,,,N,,16/04/2013,25/05/2018
00022981,Descripcion erronea,RESORTE ACELER P-06 N�33                          ,,,N,,,11/09/2018
00022982,Descripcion erronea,RESORTE ACELER P-07 N�34                          ,,,N,,16/04/2013,16/11/2020
