Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
00003521,Letras y numeros,C 411,,,,,,
00003522,Letras y numeros,C 502,,,,,,
00003523,Letras y numeros,C 503,,,,,,
00003524,Letras y numeros,C 505,,,,,,
00003525,Letras y numeros,C 602,,,,,,
00003526,Letras y numeros,C 603,,,,,,
00003527,Letras y numeros,C 609,,,,,,
00003528,Letras y numeros,C 610/2,,,,,,
00003529,Letras y numeros,C 642,,,,,,
00003530,Letras y numeros,C 704,,,,,,
00003532,Letras y numeros,C 711,,,,,,
00003533,Letras y numeros,C 711/1,,,,,,
00003534,Letras y numeros,C 712/10,,,,,,
00003535,Letras y numeros,C 713,,,,,,
00003536,Letras y numeros,C 713/10,,,,,,
00003537,Letras y numeros,C 718,,,N,,,31/08/2017
00003538,Letras y numeros,C 722,,,,,,
00003540,Letras y numeros,C 737,,,,,,
00003541,Letras y numeros,C 744,,,,,,
00003543,Letras y numeros,C 803,,,,,,
00003544,Letras y numeros,C 805,,,,,,
00003545,Letras y numeros,C 808,,,,,,
00003546,Letras y numeros,C 809,,,,,,
00003547,Letras y numeros,C 810x,,,,,,
00003548,Letras y numeros,C 811,,,N,,,12/08/2013
00003549,Letras y numeros,C 812,,,,,,
00003550,Letras y numeros,C 812/10,,,,,,
00003551,Letras y numeros,C 814/10,,,,,,
00003552,Letras y numeros,C 816/1,N,,,,,14/09/2021
00003553,Letras y numeros,C 822,,,,,,
00003556,Letras y numeros,C 829,,,,,,
00003559,Letras y numeros,C 845,,,,,,
00003560,Letras y numeros,C 903,,,N,,,04/03/2014
00003561,Letras y numeros,C 904,,,,,,
00003562,Letras y numeros,C 905,,,,,,
00003563,Letras y numeros,C 906,,,N,S,,21/02/2020
00003564,Letras y numeros,C 907,,,,,,
00003565,Letras y numeros,C 911,,,N,,,14/07/2012
00003566,Letras y numeros,C 911X-2,,,,,,
00003567,Letras y numeros,C 912,,,,,,
00003568,Letras y numeros,C 914,,,,,,
00003569,Letras y numeros,C 915,,,,,,
00003570,Letras y numeros,C 919,,,N,,,25/06/2015
00003571,Letras y numeros,C 920,,,,,,
00003572,Letras y numeros,C 930,,,,,,
00003573,Letras y numeros,C 939,,S,,,,
00003575,Letras y numeros,C 940,,,,,,
00003576,Letras y numeros,C 941,,,N,,,
00003578,Letras y numeros,C 944,,,,,,
00003581,Letras y numeros,C 957,,,,,,
