,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
91,00200129,EMPAQ MULT ESCAPE                                                                                   ,,,,,,
92,00200130,MOTOR FIAT STRADA                                                                                   ,,,,,,
93,00200131,BUJIAS                                                                                              ,,,,,,
94,00200132,OPTICO RH ACCENT 2006                                                                               ,,,,,,
95,00200133,TELECOMANDO MIT L-300                                                                               ,,,,,,
96,00200134,INDUCIDO NISSAN PRIMERA                                                                             ,,,,,,
97,00200135,PARACHOQUE DEL TERRANO                                                                              ,,,,,,
98,00200136,REPUESTOS DAHIATSU                                                                                  ,,,,,,
99,00200137,DEPOSITO LIMP PARABRIZA TERRANO                                                                     ,,,,,,
100,00200140,REPUESTOS TOYOTA YARIS                                                                              ,,,,,,
101,00200141,OPTICO RH PEUGEOT                                                                                   ,,,,,,
102,00200142,OPTICO RH 323                                                                                       ,,,,,,
103,00200143,FRENO LUV                                                                                           ,,,,,,
104,00200144,JGO METAL AXIAL BANCA STD DAIH                                                                      ,,,,,,
105,00200145,JGO METAL BIELA STD DAIH                                                                            ,,,,,,
106,00200146,CAPOT                                                                                               ,,,,,,
107,00200148,JGO VAL ESC DAIH                                                                                    ,,,,,,
108,00200149,KIT EMP SUB LEONE 1.8                                                                               ,,,,,,
109,00200150,TUBO SALIDA AGUA DAIH                                                                               ,,,,,,
110,00200152,JGO EMP MOTOR DAIH                                                                                  ,,,,,,
111,00200153,KIT EMB                                                                                             ,,,,N,,
112,00200154,AMORT. DELANT. LH SM3                                                                               ,,,,,,
113,00200155,METAL BANCADA 0.25 CAVALIER 2400                                                                    ,,,,,,
114,00200156,TERMINAL INT KIA BESTA                                                                              ,,,,,,
115,00200158,TORNILLO AUTO PERFORANTES                                                                           ,,,,,,
116,00200159,CAJA REGULADORA IN9254                                                                              ,,,,,,
117,00200160,OPTICO LH ACCENT 2006                                                                               ,,,,,,
118,00200161,REP HYUNDAI SONATA 2.0                                                                              ,,,,,,
119,00200162,EJE PALIER                                                                                          ,,,,,,
120,00200163,ALTERNADOR TOYOTA                                                                                   ,,,,,,
121,00200164,MASCARA                                                                                             ,,,,,,
122,00200166,OPTICO LH TERCEL 1995                                                                               ,,,,,,
123,00200167,OPTICO RH TERECL 1995                                                                               ,,,,,,
124,00200168,BOMBA AGUA DAKOTA                                                                                   ,,,,,,
125,00200169,TUERCAS RODA                                                                                        ,,,,,,
126,00200170,ANILLOS STD D4AL                                                                                    ,,,,,,
127,00200171,PARACHOQUE TRASERO SWIFT 1.5/2007                                                                   ,,,,,,
128,00200173,PARACHOQUE TRASERO YARIS SEDAN 2008                                                                 ,,,,,,
129,00200174,REPUESTOS APLUSSE 1.6 A�O 90                                                                        ,,,,,,
130,00200175,BRAZO PITMAN MIT PAJERO 2.5                                                                         ,,,,,,
131,00200176,SENSOR VELOCIDAD FIAT BRAVA 97   1.4                                                                ,,,,,,
132,00200177,RADIADOR HILUX 2RZ 1998                                                                             ,,,,,,
133,00200178,METAL LEVA STD D4AL                                                                                 ,,,,,,
134,00200179,JGO PISTONES                                                                                        ,,,,,,
135,00200180,REGULADOR IH738                                                                                     ,,,,,,
136,00200181,ESPEJO IZQ FIORINO 92                                                                               ,,,,,,
137,00200182,METAL BANCADA 0.25 DAAL                                                                             ,,,,,,
138,00200183,AMORTIUGUADOR 34953                                                                                 ,,04/01/2012,,N,,
139,00200184,RODAMIEN MAZDA 3                                                                                    ,,,,,,
